outcome,from_year,for_years,gwcode,p_up,p_same,p_down
v2x_freexp_altinf,2005,2006 - 2007,2,0,0.9985,0.0015
v2x_freexp_altinf,2005,2006 - 2007,20,5e-4,0.99900025,5e-4
v2x_freexp_altinf,2005,2006 - 2007,40,0.010125,0.989875,0
v2x_freexp_altinf,2005,2006 - 2007,41,0.5418999999999999,0.4254412875,0.07129166666666666
v2x_freexp_altinf,2005,2006 - 2007,42,0.013,0.980214375,0.006875
v2x_freexp_altinf,2005,2006 - 2007,51,0.0015,0.988515,0.01
v2x_freexp_altinf,2005,2006 - 2007,52,5e-4,0.99000475,0.0095
v2x_freexp_altinf,2005,2006 - 2007,53,0.004,0.988032,0.008
v2x_freexp_altinf,2005,2006 - 2007,70,0.0275,0.923875,0.05
v2x_freexp_altinf,2005,2006 - 2007,90,0.029,0.9591861666666668,0.01216666666666666
v2x_freexp_altinf,2005,2006 - 2007,91,0.021,0.9716575,0.0075
v2x_freexp_altinf,2005,2006 - 2007,92,0.041,0.940779,0.019
v2x_freexp_altinf,2005,2006 - 2007,93,0.008,0.45714666666666653,0.5391666666666668
v2x_freexp_altinf,2005,2006 - 2007,94,0,0.9985,0.0015
v2x_freexp_altinf,2005,2006 - 2007,95,0.011,0.971198,0.018
v2x_freexp_altinf,2005,2006 - 2007,100,0.077,0.8034715000000001,0.1295
v2x_freexp_altinf,2005,2006 - 2007,101,0.21783333333333335,0.6360970416666667,0.18675
v2x_freexp_altinf,2005,2006 - 2007,110,0.13196666666666668,0.8558808666666666,0.014
v2x_freexp_altinf,2005,2006 - 2007,115,0.0055,0.986544,0.008
v2x_freexp_altinf,2005,2006 - 2007,130,0.025,0.9520875,0.0235
v2x_freexp_altinf,2005,2006 - 2007,135,0.0045,0.983554,0.012
v2x_freexp_altinf,2005,2006 - 2007,140,0.017,0.8966598333333333,0.08783333333333333
v2x_freexp_altinf,2005,2006 - 2007,145,0.229,0.7390035,0.0415
v2x_freexp_altinf,2005,2006 - 2007,150,0.0365,0.93507675,0.0295
v2x_freexp_altinf,2005,2006 - 2007,155,0.001,0.990009,0.009
v2x_freexp_altinf,2005,2006 - 2007,160,0.1025,0.7565924999999999,0.157
v2x_freexp_altinf,2005,2006 - 2007,165,0,0.9965,0.0035
v2x_freexp_altinf,2005,2006 - 2007,200,0,0.98,0.02
v2x_freexp_altinf,2005,2006 - 2007,205,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,210,0,0.9995,5e-4
v2x_freexp_altinf,2005,2006 - 2007,211,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,212,0,1,0
