outcome,from_year,for_years,gwcode,p_up,p_same,p_down
v2x_freexp_altinf,2005,2006 - 2007,2,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,20,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,40,0.00888888888888888,0.9834024691358024,0.00777777777777777
v2x_freexp_altinf,2005,2006 - 2007,41,0.5211111111111111,0.44501193415637863,0.07074074074074074
v2x_freexp_altinf,2005,2006 - 2007,42,0.00222222222222222,0.994451851851852,0.00333333333333333
v2x_freexp_altinf,2005,2006 - 2007,51,0,0.9933333333333332,0.00666666666666666
v2x_freexp_altinf,2005,2006 - 2007,52,0,0.9988888888888888,0.00111111111111111
v2x_freexp_altinf,2005,2006 - 2007,53,0.00666666666666666,0.9933333333333332,0
v2x_freexp_altinf,2005,2006 - 2007,70,0.01777777777777777,0.9702172839506172,0.01222222222222222
v2x_freexp_altinf,2005,2006 - 2007,90,0.01444444444444444,0.9789851851851852,0.00666666666666666
v2x_freexp_altinf,2005,2006 - 2007,91,0.00333333333333333,0.9933444444444444,0.00333333333333333
v2x_freexp_altinf,2005,2006 - 2007,92,0.01666666666666666,0.9795092592592592,0.00388888888888888
v2x_freexp_altinf,2005,2006 - 2007,93,0.00333333333333333,0.9833777777777778,0.01333333333333333
v2x_freexp_altinf,2005,2006 - 2007,94,0,0.9988888888888888,0.00111111111111111
v2x_freexp_altinf,2005,2006 - 2007,95,0.00555555555555555,0.9805222222222222,0.014
v2x_freexp_altinf,2005,2006 - 2007,100,0.03555555555555555,0.9297958847736626,0.03592592592592592
v2x_freexp_altinf,2005,2006 - 2007,101,0.2788888888888889,0.6365808641975308,0.11722222222222224
v2x_freexp_altinf,2005,2006 - 2007,110,0.01222222222222222,0.9855827160493826,0.00222222222222222
v2x_freexp_altinf,2005,2006 - 2007,115,0.00333333333333333,0.9889148148148148,0.00777777777777777
v2x_freexp_altinf,2005,2006 - 2007,130,0.02111111111111111,0.9647493827160494,0.01444444444444444
v2x_freexp_altinf,2005,2006 - 2007,135,0,0.9922222222222222,0.00777777777777777
v2x_freexp_altinf,2005,2006 - 2007,140,0.00222222222222222,0.9634098765432098,0.03444444444444444
v2x_freexp_altinf,2005,2006 - 2007,145,0.2611111111111111,0.7208271604938271,0.02444444444444444
v2x_freexp_altinf,2005,2006 - 2007,150,0.01555555555555555,0.968037037037037,0.01666666666666666
v2x_freexp_altinf,2005,2006 - 2007,155,0.00333333333333333,0.9889148148148148,0.00777777777777777
v2x_freexp_altinf,2005,2006 - 2007,160,0.01222222222222222,0.9383888888888888,0.05
v2x_freexp_altinf,2005,2006 - 2007,165,0.00222222222222222,0.9955604938271604,0.00222222222222222
v2x_freexp_altinf,2005,2006 - 2007,200,0,0.9955555555555556,0.00444444444444444
v2x_freexp_altinf,2005,2006 - 2007,205,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,210,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,211,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,212,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,220,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,225,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,230,0,1,0
