From_Year,For_Years,Space,Country,p_up,p_same,p_down
2021,2022 - 2023,Associational,Afghanistan,0.349,0.482,0.259
2021,2022 - 2023,Associational,Albania,0.162,0.624,0.256
2021,2022 - 2023,Associational,Algeria,0.29,0.435,0.388
2021,2022 - 2023,Associational,Angola,0.472,0.46,0.128
2021,2022 - 2023,Associational,Argentina,0.066,0.778,0.168
2021,2022 - 2023,Associational,Armenia,0.306,0.545,0.214
2021,2022 - 2023,Associational,Australia,0.445,0.447,0.195
2021,2022 - 2023,Associational,Austria,0.305,0.41,0.41
2021,2022 - 2023,Associational,Azerbaijan,0.499,0.425,0.15
2021,2022 - 2023,Associational,Bangladesh,0.685,0.205,0.349
2021,2022 - 2023,Associational,Barbados,0.042,0.937,0.021
2021,2022 - 2023,Associational,Belarus,0.444,0.556,0
2021,2022 - 2023,Associational,Belgium,0.018,0.954,0.028
2021,2022 - 2023,Associational,Benin,0.418,0.312,0.463
2021,2022 - 2023,Associational,Bhutan,0.487,0.311,0.394
2021,2022 - 2023,Associational,Bolivia,0.334,0.322,0.517
2021,2022 - 2023,Associational,Bosnia-Herzegovina,0.142,0.76,0.114
2021,2022 - 2023,Associational,Botswana,0.285,0.621,0.131
2021,2022 - 2023,Associational,Brazil,0.228,0.537,0.304
2021,2022 - 2023,Associational,Bulgaria,0.13,0.643,0.261
2021,2022 - 2023,Associational,Burkina Faso,0.118,0.713,0.192
2021,2022 - 2023,Associational,Burundi,0.326,0.587,0.13
2021,2022 - 2023,Associational,Cambodia,0.206,0.479,0.396
2021,2022 - 2023,Associational,Cameroon,0.462,0.433,0.196
2021,2022 - 2023,Associational,Canada,0.138,0.773,0.103
2021,2022 - 2023,Associational,Cape Verde,0.06,0.865,0.08
2021,2022 - 2023,Associational,CAR,0.488,0.346,0.324
2021,2022 - 2023,Associational,Chad,0.09,0.861,0.054
2021,2022 - 2023,Associational,Chile,0.207,0.666,0.16
2021,2022 - 2023,Associational,China,0.104,0.772,0.138
2021,2022 - 2023,Associational,Colombia,0.424,0.224,0.611
2021,2022 - 2023,Associational,Comoros,0.222,0.665,0.146
2021,2022 - 2023,Associational,Congo,0.464,0.426,0.204
2021,2022 - 2023,Associational,Costa Rica,0,0.94,0.06
2021,2022 - 2023,Associational,Cote D'Ivoire,0.242,0.524,0.309
2021,2022 - 2023,Associational,Croatia,0.148,0.735,0.138
2021,2022 - 2023,Associational,Cuba,0.096,0.904,0
2021,2022 - 2023,Associational,Cyprus,0.062,0.859,0.085
2021,2022 - 2023,Associational,Czech Republic,0.122,0.752,0.144
2021,2022 - 2023,Associational,Denmark,0,0.925,0.074
2021,2022 - 2023,Associational,Djibouti,0.152,0.761,0.102
2021,2022 - 2023,Associational,Dominican Republic,0.162,0.614,0.268
2021,2022 - 2023,Associational,DR Congo,0.252,0.581,0.223
2021,2022 - 2023,Associational,East Timor,0.266,0.635,0.135
2021,2022 - 2023,Associational,Ecuador,0.303,0.398,0.43
2021,2022 - 2023,Associational,Egypt,0.144,0.788,0.079
2021,2022 - 2023,Associational,El Salvador,0.472,0.299,0.434
2021,2022 - 2023,Associational,Equatorial Guinea,0.108,0.862,0.034
2021,2022 - 2023,Associational,Eritrea,0.074,0.919,0.008
2021,2022 - 2023,Associational,Estonia,0,0.98,0.02
2021,2022 - 2023,Associational,Ethiopia,0.454,0.415,0.241
2021,2022 - 2023,Associational,Fiji,0.328,0.44,0.346
2021,2022 - 2023,Associational,Finland,0.019,0.947,0.034
2021,2022 - 2023,Associational,France,0.26,0.294,0.603
