From_Year,For_Years,Space,Country,p_up,p_same,p_down
2022,2023 - 2024,Associational,Afghanistan,0.448,0.398,0.28
2022,2023 - 2024,Associational,Albania,0.116,0.752,0.15
2022,2023 - 2024,Associational,Algeria,0.218,0.352,0.55
2022,2023 - 2024,Associational,Angola,0.477,0.455,0.13
2022,2023 - 2024,Associational,Argentina,0.04,0.848,0.116
2022,2023 - 2024,Associational,Armenia,0.27,0.584,0.2
2022,2023 - 2024,Associational,Australia,0.6,0.362,0.096
2022,2023 - 2024,Associational,Austria,0.184,0.498,0.39
2022,2023 - 2024,Associational,Azerbaijan,0.487,0.341,0.336
2022,2023 - 2024,Associational,Bangladesh,0.625,0.242,0.355
2022,2023 - 2024,Associational,Barbados,0.022,0.955,0.024
2022,2023 - 2024,Associational,Belarus,0.362,0.638,0
2022,2023 - 2024,Associational,Belgium,0.005,0.969,0.025
2022,2023 - 2024,Associational,Benin,0.292,0.521,0.263
2022,2023 - 2024,Associational,Bhutan,0.182,0.497,0.392
2022,2023 - 2024,Associational,Bolivia,0.39,0.228,0.626
2022,2023 - 2024,Associational,Bosnia-Herzegovina,0.088,0.803,0.12
2022,2023 - 2024,Associational,Botswana,0.3,0.596,0.148
2022,2023 - 2024,Associational,Brazil,0.34,0.443,0.329
2022,2023 - 2024,Associational,Bulgaria,0.163,0.612,0.268
2022,2023 - 2024,Associational,Burkina Faso,0.268,0.584,0.202
2022,2023 - 2024,Associational,Burundi,0.342,0.559,0.15
2022,2023 - 2024,Associational,CAR,0.551,0.292,0.349
2022,2023 - 2024,Associational,Cambodia,0.176,0.331,0.599
2022,2023 - 2024,Associational,Cameroon,0.438,0.467,0.169
2022,2023 - 2024,Associational,Canada,0.128,0.756,0.133
2022,2023 - 2024,Associational,Cape Verde,0.032,0.907,0.064
2022,2023 - 2024,Associational,Chad,0.345,0.433,0.338
2022,2023 - 2024,Associational,Chile,0.347,0.378,0.421
2022,2023 - 2024,Associational,China,0.138,0.862,0
2022,2023 - 2024,Associational,Colombia,0.406,0.246,0.586
2022,2023 - 2024,Associational,Comoros,0.151,0.477,0.438
2022,2023 - 2024,Associational,Congo,0.304,0.427,0.386
2022,2023 - 2024,Associational,Costa Rica,0.013,0.902,0.086
2022,2023 - 2024,Associational,Cote D'Ivoire,0.416,0.439,0.249
2022,2023 - 2024,Associational,Croatia,0.184,0.726,0.11
2022,2023 - 2024,Associational,Cuba,0.103,0.897,0
2022,2023 - 2024,Associational,Cyprus,0.188,0.713,0.122
2022,2023 - 2024,Associational,Czech Republic,0.038,0.854,0.112
2022,2023 - 2024,Associational,DR Congo,0.222,0.485,0.378
2022,2023 - 2024,Associational,Denmark,0,0.966,0.034
2022,2023 - 2024,Associational,Djibouti,0.056,0.879,0.068
2022,2023 - 2024,Associational,Dominican Republic,0.103,0.722,0.196
2022,2023 - 2024,Associational,East Timor,0.174,0.747,0.096
2022,2023 - 2024,Associational,Ecuador,0.421,0.401,0.308
2022,2023 - 2024,Associational,Egypt,0.172,0.783,0.054
2022,2023 - 2024,Associational,El Salvador,0.4,0.326,0.457
2022,2023 - 2024,Associational,Equatorial Guinea,0.163,0.478,0.429
2022,2023 - 2024,Associational,Eritrea,0.08,0.912,0.008
2022,2023 - 2024,Associational,Estonia,0,0.982,0.018
2022,2023 - 2024,Associational,Ethiopia,0.348,0.537,0.176
2022,2023 - 2024,Associational,Fiji,0.257,0.538,0.276
2022,2023 - 2024,Associational,Finland,0.124,0.794,0.093
2022,2023 - 2024,Associational,France,0.104,0.644,0.281
2022,2023 - 2024,Associational,Gabon,0.2,0.62,0.224
2022,2023 - 2024,Associational,Gambia,0.114,0.781,0.119
2022,2023 - 2024,Associational,Georgia,0.082,0.799,0.13
2022,2023 - 2024,Associational,Germany,0.05,0.885,0.068
2022,2023 - 2024,Associational,Ghana,0.209,0.469,0.407
2022,2023 - 2024,Associational,Greece,0.226,0.644,0.167
2022,2023 - 2024,Associational,Guatemala,0.338,0.327,0.506
2022,2023 - 2024,Associational,Guinea,0.314,0.567,0.174
2022,2023 - 2024,Associational,Guinea-Bissau,0.161,0.761,0.094
2022,2023 - 2024,Associational,Guyana,0.196,0.656,0.184
2022,2023 - 2024,Associational,Haiti,0.277,0.58,0.198
2022,2023 - 2024,Associational,Honduras,0.113,0.693,0.219
2022,2023 - 2024,Associational,Hungary,0.221,0.584,0.25
2022,2023 - 2024,Associational,Iceland,0.047,0.905,0.051
2022,2023 - 2024,Associational,India,0.204,0.55,0.309
2022,2023 - 2024,Associational,Indonesia,0.364,0.476,0.251
2022,2023 - 2024,Associational,Iran,0.376,0.404,0.352
2022,2023 - 2024,Associational,Iraq,0.167,0.567,0.32
2022,2023 - 2024,Associational,Ireland,0.002,0.991,0.007
2022,2023 - 2024,Associational,Israel,0.339,0.596,0.098
2022,2023 - 2024,Associational,Italy,0.074,0.825,0.108
2022,2023 - 2024,Associational,Jamaica,0,0.991,0.01
2022,2023 - 2024,Associational,Japan,0,0.953,0.047
2022,2023 - 2024,Associational,Jordan,0.155,0.617,0.27
2022,2023 - 2024,Associational,Kazakhstan,0.337,0.502,0.243
2022,2023 - 2024,Associational,Kenya,0.188,0.657,0.19
2022,2023 - 2024,Associational,Kosovo,0.27,0.377,0.483
2022,2023 - 2024,Associational,Kuwait,0.134,0.738,0.148
2022,2023 - 2024,Associational,Kyrgyzstan,0.376,0.37,0.406
2022,2023 - 2024,Associational,Laos,0.094,0.764,0.157
2022,2023 - 2024,Associational,Latvia,0.02,0.941,0.04
2022,2023 - 2024,Associational,Lebanon,0.448,0.455,0.177
2022,2023 - 2024,Associational,Lesotho,0.214,0.589,0.25
2022,2023 - 2024,Associational,Liberia,0.033,0.898,0.072
2022,2023 - 2024,Associational,Libya,0.25,0.476,0.364
2022,2023 - 2024,Associational,Lithuania,0.068,0.847,0.091
2022,2023 - 2024,Associational,Luxembourg,0,0.984,0.016
2022,2023 - 2024,Associational,Madagascar,0.074,0.872,0.059
2022,2023 - 2024,Associational,Malawi,0.237,0.573,0.248
2022,2023 - 2024,Associational,Malaysia,0.25,0.61,0.187
2022,2023 - 2024,Associational,Maldives,0.476,0.223,0.574
2022,2023 - 2024,Associational,Mali,0.376,0.463,0.258
2022,2023 - 2024,Associational,Mauritania,0.501,0.314,0.372
2022,2023 - 2024,Associational,Mauritius,0.227,0.625,0.192
2022,2023 - 2024,Associational,Mexico,0.434,0.202,0.643
2022,2023 - 2024,Associational,Moldova,0.107,0.722,0.192
2022,2023 - 2024,Associational,Mongolia,0.266,0.465,0.366
2022,2023 - 2024,Associational,Montenegro,0.262,0.609,0.175
2022,2023 - 2024,Associational,Morocco,0.182,0.693,0.152
2022,2023 - 2024,Associational,Mozambique,0.178,0.426,0.482
2022,2023 - 2024,Associational,Myanmar,0.384,0.495,0.196
2022,2023 - 2024,Associational,Namibia,0.03,0.901,0.07
2022,2023 - 2024,Associational,Nepal,0.21,0.525,0.335
2022,2023 - 2024,Associational,Netherlands,0.213,0.72,0.084
2022,2023 - 2024,Associational,New Zealand,0.02,0.914,0.068
2022,2023 - 2024,Associational,Nicaragua,0.464,0.3,0.44
2022,2023 - 2024,Associational,Niger,0.191,0.599,0.26
2022,2023 - 2024,Associational,Nigeria,0.248,0.452,0.399
2022,2023 - 2024,Associational,North Korea,0.064,0.935,0
2022,2023 - 2024,Associational,North Macedonia,0.319,0.362,0.469
2022,2023 - 2024,Associational,Norway,0,0.961,0.039
2022,2023 - 2024,Associational,Oman,0.011,0.978,0.012
2022,2023 - 2024,Associational,Pakistan,0.593,0.309,0.241
2022,2023 - 2024,Associational,Panama,0.124,0.588,0.328
2022,2023 - 2024,Associational,Papua New Guinea,0.081,0.798,0.132
2022,2023 - 2024,Associational,Paraguay,0.122,0.741,0.156
2022,2023 - 2024,Associational,Peru,0.213,0.458,0.418
2022,2023 - 2024,Associational,Philippines,0.156,0.511,0.395
2022,2023 - 2024,Associational,Poland,0.178,0.69,0.16
2022,2023 - 2024,Associational,Portugal,0.155,0.646,0.236
2022,2023 - 2024,Associational,Qatar,0.01,0.984,0.006
2022,2023 - 2024,Associational,Romania,0.462,0.406,0.244
2022,2023 - 2024,Associational,Russia,0.274,0.4,0.449
2022,2023 - 2024,Associational,Rwanda,0.138,0.77,0.106
2022,2023 - 2024,Associational,Saudi Arabia,0.005,0.989,0.006
2022,2023 - 2024,Associational,Senegal,0.025,0.899,0.077
2022,2023 - 2024,Associational,Serbia,0.23,0.668,0.133
2022,2023 - 2024,Associational,Sierra Leone,0.097,0.729,0.193
2022,2023 - 2024,Associational,Singapore,0.068,0.891,0.044
2022,2023 - 2024,Associational,Slovakia,0.201,0.708,0.114
2022,2023 - 2024,Associational,Slovenia,0.231,0.424,0.449
2022,2023 - 2024,Associational,Solomon Islands,0.08,0.669,0.273
2022,2023 - 2024,Associational,Somalia,0.364,0.211,0.668
2022,2023 - 2024,Associational,South Africa,0.061,0.785,0.164
2022,2023 - 2024,Associational,South Korea,0.401,0.446,0.255
2022,2023 - 2024,Associational,South Sudan,0.449,0.386,0.3
2022,2023 - 2024,Associational,Spain,0,0.881,0.12
2022,2023 - 2024,Associational,Sri Lanka,0.51,0.244,0.501
2022,2023 - 2024,Associational,Sudan,0.512,0.316,0.352
2022,2023 - 2024,Associational,Surinam,0,0.936,0.064
2022,2023 - 2024,Associational,Swaziland,0.043,0.183,0.809
2022,2023 - 2024,Associational,Sweden,0.012,0.922,0.066
2022,2023 - 2024,Associational,Switzerland,0,0.991,0.009
2022,2023 - 2024,Associational,Syria,0.203,0.767,0.038
2022,2023 - 2024,Associational,Taiwan,0.024,0.92,0.058
2022,2023 - 2024,Associational,Tajikistan,0.141,0.789,0.082
2022,2023 - 2024,Associational,Tanzania,0.502,0.418,0.16
2022,2023 - 2024,Associational,Thailand,0.64,0.214,0.406
2022,2023 - 2024,Associational,Togo,0.148,0.458,0.462
2022,2023 - 2024,Associational,Trinidad and Tobago,0.021,0.938,0.041
2022,2023 - 2024,Associational,Tunisia,0.472,0.317,0.399
2022,2023 - 2024,Associational,Turkey,0.336,0.562,0.154
2022,2023 - 2024,Associational,Turkmenistan,0.063,0.937,0
2022,2023 - 2024,Associational,UK,0.039,0.899,0.064
2022,2023 - 2024,Associational,USA,0,0.871,0.129
2022,2023 - 2024,Associational,Uganda,0.37,0.483,0.232
2022,2023 - 2024,Associational,Ukraine,0.604,0.246,0.378
2022,2023 - 2024,Associational,United Arab Emirates,0.015,0.971,0.014
2022,2023 - 2024,Associational,Uruguay,0.146,0.715,0.162
2022,2023 - 2024,Associational,Uzbekistan,0.218,0.712,0.09
2022,2023 - 2024,Associational,Venezuela,0.258,0.588,0.208
2022,2023 - 2024,Associational,Vietnam,0.21,0.431,0.455
2022,2023 - 2024,Associational,Yemen,0.374,0.489,0.218
2022,2023 - 2024,Associational,Zambia,0.157,0.596,0.293
2022,2023 - 2024,Associational,Zimbabwe,0.116,0.554,0.374
2022,2023 - 2024,Economic,Afghanistan,0.364,0.345,0.458
2022,2023 - 2024,Economic,Albania,0.474,0.408,0.223
2022,2023 - 2024,Economic,Algeria,0.22,0.656,0.158
2022,2023 - 2024,Economic,Angola,0.505,0.427,0.138
2022,2023 - 2024,Economic,Argentina,0.122,0.748,0.148
2022,2023 - 2024,Economic,Armenia,0.269,0.463,0.366
2022,2023 - 2024,Economic,Australia,0,0.976,0.024
2022,2023 - 2024,Economic,Austria,0.262,0.391,0.47
2022,2023 - 2024,Economic,Azerbaijan,0.374,0.439,0.298
2022,2023 - 2024,Economic,Bangladesh,0.246,0.383,0.492
2022,2023 - 2024,Economic,Barbados,0.127,0.793,0.091
2022,2023 - 2024,Economic,Belarus,0.22,0.588,0.246
2022,2023 - 2024,Economic,Belgium,0,0.99,0.011
2022,2023 - 2024,Economic,Benin,0.28,0.321,0.554
2022,2023 - 2024,Economic,Bhutan,0.172,0.623,0.248
2022,2023 - 2024,Economic,Bolivia,0.513,0.315,0.354
