idnum idacr year pop source
2 USA 1816 8659 0
2 USA 1817 8899 0
2 USA 1818 9139 0
2 USA 1819 9379 0
2 USA 1820 9618 0
2 USA 1821 9939 0
2 USA 1822 10268 0
2 USA 1823 10596 0
2 USA 1824 10924 0
2 USA 1825 11252 0
2 USA 1826 11580 0
2 USA 1827 11909 0
2 USA 1828 12237 0
2 USA 1829 12565 0
2 USA 1830 12901 0
2 USA 1831 13321 0
2 USA 1832 13742 0
2 USA 1833 14162 0
2 USA 1834 14582 0
2 USA 1835 15003 0
2 USA 1836 15423 0
2 USA 1837 15843 0
2 USA 1838 16264 0
2 USA 1839 16684 0
2 USA 1840 17120 0
2 USA 1841 17733 0
2 USA 1842 18345 0
2 USA 1843 18957 0
2 USA 1844 19569 0
2 USA 1845 20182 0
2 USA 1846 20794 0
2 USA 1847 21406 0
2 USA 1848 22018 0
2 USA 1849 22631 0
2 USA 1850 23261 0
2 USA 1851 24086 0
2 USA 1852 24911 0
2 USA 1853 25736 0
2 USA 1854 26561 0
2 USA 1855 27386 0
2 USA 1856 28212 0
2 USA 1857 29037 0
2 USA 1858 29862 0
2 USA 1859 30687 0
2 USA 1860 31513 0
2 USA 1861 32351 0
2 USA 1862 33188 0
2 USA 1863 34026 0
2 USA 1864 34863 0
2 USA 1865 35701 0
2 USA 1866 36538 0
2 USA 1867 37376 0
2 USA 1868 38213 0
2 USA 1869 39051 0
2 USA 1870 39905 0
2 USA 1871 40938 0
2 USA 1872 41972 0
2 USA 1873 43006 0
2 USA 1874 44040 0
2 USA 1875 45073 0
2 USA 1876 46107 0
2 USA 1877 47141 0
2 USA 1878 48174 0
2 USA 1879 49208 0
2 USA 1880 50262 0
2 USA 1881 51542 0
2 USA 1882 52821 0
2 USA 1883 54100 0
2 USA 1884 55379 0
2 USA 1885 56658 0
2 USA 1886 57938 0
2 USA 1887 59217 0
2 USA 1888 60496 0
2 USA 1889 61775 0
2 USA 1890 63056 0
2 USA 1891 64361 0
2 USA 1892 65666 0
2 USA 1893 66970 0
2 USA 1894 68275 0
2 USA 1895 69580 0
2 USA 1896 70885 0
2 USA 1897 72189 0
2 USA 1898 73494 0
2 USA 1899 74799 0
2 USA 1900 76094 0
2 USA 1901 77584 0
2 USA 1902 79163 0
2 USA 1903 80632 0
2 USA 1904 82166 0
2 USA 1905 83822 0
2 USA 1906 85450 0
2 USA 1907 87008 0
2 USA 1908 88710 0
2 USA 1909 90490 0
2 USA 1910 92407 0
2 USA 1911 93863 0
2 USA 1912 95335 0
2 USA 1913 97225 0
2 USA 1914 99111 0
2 USA 1915 100546 0
2 USA 1916 101961 0
2 USA 1917 103268 0
2 USA 1918 103208 0
2 USA 1919 104514 0
2 USA 1920 106461 0
2 USA 1921 108538 0
2 USA 1922 110049 0
2 USA 1923 111947 0
2 USA 1924 114109 0
2 USA 1925 115829 0
2 USA 1926 117397 0
2 USA 1927 119035 0
2 USA 1928 120509 0
2 USA 1929 121767 0
2 USA 1930 123188 0
2 USA 1931 124149 0
2 USA 1932 124949 0
2 USA 1933 125690 0
2 USA 1934 126485 0
2 USA 1935 127362 0
2 USA 1936 128181 0
2 USA 1937 128961 0
2 USA 1938 129969 0
2 USA 1939 131028 0
2 USA 1940 132122 0
2 USA 1941 133402 0
2 USA 1942 134860 0
2 USA 1943 136739 0
2 USA 1944 138397 0
2 USA 1945 139928 0
2 USA 1946 141389 0
2 USA 1947 144126 0
2 USA 1948 147208 0
2 USA 1949 149767 0
2 USA 1950 152271 0
2 USA 1951 154878 0
2 USA 1952 157553 0
2 USA 1953 160184 0
2 USA 1954 163026 0
2 USA 1955 165931 0
2 USA 1956 168903 0
2 USA 1957 171984 0
2 USA 1958 174882 0
2 USA 1959 177830 0
2 USA 1960 180671 0
2 USA 1961 183691 0
2 USA 1962 186538 0
2 USA 1963 189242 0
2 USA 1964 191889 0
2 USA 1965 194303 0
2 USA 1966 196560 0
2 USA 1967 198712 0
2 USA 1968 200706 0
2 USA 1969 202677 0
2 USA 1970 205052 0
2 USA 1971 207661 0
2 USA 1972 209896 0
2 USA 1973 211909 0
2 USA 1974 213854 0
2 USA 1975 215973 0
2 USA 1976 218035 0
2 USA 1977 220239 0
2 USA 1978 222585 0
2 USA 1979 225055 0
2 USA 1980 227726 0
2 USA 1981 229966 0
2 USA 1982 232188 0
2 USA 1983 234307 0
2 USA 1984 236348 0
2 USA 1985 238466 0
2 USA 1986 240651 0
2 USA 1987 242804 0
2 USA 1988 245021 0
2 USA 1989 247342 0
2 USA 1990 249907 0
2 USA 1991 252618 0
2 USA 1992 255391 0
2 USA 1993 258132 0
2 USA 1994 260602 0
2 USA 1995 262755 0
2 USA 1996 265284 0
2 USA 1997 267901 0
2 USA 1998 274028 0
2 USA 1999 276218 0
2 USA 2000 278357 0
2 USA 2001 285112 0
2 USA 2002 287888 0
2 USA 2003 290448 0
2 USA 2004 293192 0
2 USA 2005 295896 0
2 USA 2006 298755 0
2 USA 2007 301621 0
2 USA 2008 304375 0
2 USA 2009 307007 0
2 USA 2010 309051 0
2 USA 2011 311108.61 3
2 USA 2012 313179.92 3
20 CAN 1867 3463 1
20 CAN 1868 3511 1
20 CAN 1869 3565 1
20 CAN 1870 3625 1
20 CAN 1871 3688.94 2
20 CAN 1872 3754 1
20 CAN 1873 3826 1
20 CAN 1874 3895 1
20 CAN 1875 3954 1
20 CAN 1876 4009 1
20 CAN 1877 4064 1
20 CAN 1878 4120 1
20 CAN 1879 4185 1
20 CAN 1880 4255 1
20 CAN 1881 4314.58 2
20 CAN 1882 4375 1
20 CAN 1883 4430 1
20 CAN 1884 4487 1
20 CAN 1885 4537 1
20 CAN 1886 4580 1
20 CAN 1887 4626 1
