cnm,ref,cowname,rgdp,gdpyear,pop,popyear,gdp.sc,pop.sc
40,530,CUB,60806200000,2008,11096,1999,2.2637722571568,0.1859
58,51,AAB,1176348888,2012,64,1999,0.079269549305675,0.0241
221,225,MNC,6074506533,2011,32,1999,0.00921345794833371,0.0044
223,225,LIE,4826167676,2009,32,1999,0.00947297406112663,0.0044
232,225,AND,3712034267,2008,66,1999,0.00708012997983936,0.0091
331,225,SNM,1899809580,2008,25,1999,0.00362359229356328,0.0034
339,310,ALB,13119013351,2012,3365,1999,0.104527307828983,0.3304
343,310,MAC,9617364880,2012,2023,1999,0.076627504860248,0.1986
344,310,CRO,56441607483,2012,4677,1999,0.449705257696721,0.4592
346,310,BOS,17047582420,2012,3482,1999,0.135828651719412,0.3418
349,310,SLV,45280384615,2012,1970,1999,0.360776879680976,0.1934
359,310,MLD,7254113625,2012,4461,1999,0.0577980178554355,0.438
366,310,EST,21854197101,2012,1409,1999,0.174125929032412,0.1383
367,310,LAT,28324131627,2012,2354,1999,0.225675906133474,0.2311
368,310,LIT,42086555101,2012,3589,1999,0.33532966106543,0.3523
369,310,UKR,1.7631e+11,2012,49811,1999,1.40477101061287,4.8901
370,310,BLR,63267029437,2012,10402,1999,0.504087623394525,1.0212
371,310,ARM,9910387657,2012,3409,1999,0.0789621988797527,0.3347
372,310,GRG,15829225459,2012,5066,1999,0.126121246924499,0.4973
373,310,AZE,68726938990,2012,7908,1999,0.547590105730312,0.7764
403,438,STP,263729026.5,2012,154,1999,0.038967519192209,0.0204
411,438,EQG,17697394251,2012,465,1999,2.61489438337548,0.0617
511,438,ZAN,732936866.9429,2011,780,1999,0.14383086848673,0.1035
620,770,LIB,62360446571,2009,4993,1999,0.385371597717203,0.0361
660,770,LEB,42945273632,2012,3563,1999,0.185763916014223,0.0258
680,770,YPR,7523054641.79135,2011,2972,1994,0.0356981064045029,0.0215
700,530,AFG,18033526069,2011,25825,1999,0.568722208079971,0.4327
701,310,TKM,33678947368,2012,4366,1999,0.268341040953565,0.4286
702,310,TAJ,6986537406,2012,6103,1999,0.0556660723300507,0.5992
703,310,KYR,6473175648,2012,4546,1999,0.0515758011282149,0.4463
704,310,UZB,51112745669,2012,24102,1999,0.407246913893935,2.3662
705,310,KZK,2.00485e+11,2012,16825,1999,1.5973882142971,1.6518
711,770,TBT,9508759000,2011,2000,1998,0.0451205935247531,0.0145
731,530,PRK,26822382671.4801,2011,21387,1999,0.845895840920035,0.3584
781,51,MAD,2222429330,2012,300,1999,0.149760817687629,0.1131
811,530,CAM,14061796429,2012,11627,1999,0.326009612076539,0.1948
816,530,DRV,7702989386.70766,1985,77311,1999,0.81870441169531,1.2954
817,530,RVN,6391699041.29234,1985,38656,1999,0.679335247737024,0.6477
835,51,BRU,16953952625,2012,323,1999,1.14246053806234,0.1218
860,530,ETM,1292700000,2012,1085,2007,0.0299700417126087,0.0142
970,51,KBI,175709256.6,2012,86,1999,0.0118403593709328,0.0324
971,51,NAU,9656818.29744525,1985,11,1999,0.00459796155261391,0.0041
973,51,TUV,36874580.69,2012,11,1999,0.00248483372743414,0.0041
983,51,MSI,186901200,2012,66,1999,0.0125945406501628,0.0249
987,51,FSM,327200000,2012,132,1999,0.0220487278879604,0.0498
347,310,KOS,6237563675,2012,1803,2011,0.0496985345555662,0.1808
396,310,ABK,555531826.79923,2011,240.71,2011,0.00400536296242334,0.0241
397,310,SOT,174407134.186072,2011,64.81,2011,0.00125746868487474,0.0065
531,530,ERI,3091837398,2012,4781,2007,0.0716813613264203,0.062
626,530,SSD,9337312682,2012,10381.11,2011,0.216476870552495,0.1207
935,51,VAN,785356716.5,2012,224,2007,0.0529221165559003,0.0837
972,51,TON,471591244.3,2012,103,2007,0.0317786889361717,0.0385
986,51,PAL,228415735.3,2012,21,2008,0.0153920427657644,0.0078
990,51,WSM,677041350.7,2012,184,2010,0.04562316781932,0.0681
