gwcode,year,pop
2,1816,8659
2,1817,8899
2,1818,9139
2,1819,9379
2,1820,9618
2,1821,9939
2,1822,10268
2,1823,10596
2,1824,10924
2,1825,11252
2,1826,11580
2,1827,11909
2,1828,12237
2,1829,12565
2,1830,12901
2,1831,13321
2,1832,13742
2,1833,14162
2,1834,14582
2,1835,15003
2,1836,15423
2,1837,15843
2,1838,16264
2,1839,16684
2,1840,17120
2,1841,17733
2,1842,18345
2,1843,18957
2,1844,19569
2,1845,20182
2,1846,20794
2,1847,21406
2,1848,22018
2,1849,22631
2,1850,23261
2,1851,24086
2,1852,24911
2,1853,25736
2,1854,26561
2,1855,27386
2,1856,28212
2,1857,29037
2,1858,29862
2,1859,30687
2,1860,31513
2,1861,32351
2,1862,33188
2,1863,34026
2,1864,34863
2,1865,35701
2,1866,36538
2,1867,37376
2,1868,38213
2,1869,39051
2,1870,39905
2,1871,40938
2,1872,41972
2,1873,43006
2,1874,44040
2,1875,45073
2,1876,46107
2,1877,47141
2,1878,48174
2,1879,49208
2,1880,50262
2,1881,51542
2,1882,52821
2,1883,54100
2,1884,55379
2,1885,56658
2,1886,57938
2,1887,59217
2,1888,60496
2,1889,61775
2,1890,63056
2,1891,64361
2,1892,65666
2,1893,66970
2,1894,68275
2,1895,69580
2,1896,70885
2,1897,72189
2,1898,73494
2,1899,74799
2,1900,76094
2,1901,77584
2,1902,79163
2,1903,80632
2,1904,82166
2,1905,83822
2,1906,85450
2,1907,87008
2,1908,88710
2,1909,90490
2,1910,92407
2,1911,93863
2,1912,95335
2,1913,97225
2,1914,99111
2,1915,100546
2,1916,101961
2,1917,103268
2,1918,103208
2,1919,104514
2,1920,106461
2,1921,108538
2,1922,110049
2,1923,111947
2,1924,114109
2,1925,115829
2,1926,117397
2,1927,119035
2,1928,120509
2,1929,121767
2,1930,123188
2,1931,124149
2,1932,124949
2,1933,125690
2,1934,126485
2,1935,127362
2,1936,128181
2,1937,128961
2,1938,129969
2,1939,131028
2,1940,132122
2,1941,133402
2,1942,134860
2,1943,136739
2,1944,138397
2,1945,139928
2,1946,141389
2,1947,144126
2,1948,147208
2,1949,149767
2,1950,158804.395
2,1951,160905.035
2,1952,163324.851
2,1953,165988.19
2,1954,168827.613
2,1955,171783.842
2,1956,174805.941
2,1957,177851.156
2,1958,180884.458
2,1959,183877.873
2,1960,186808.228
2,1961,189654.905
2,1962,192397.741
2,1963,195016.211
2,1964,197491.844
2,1965,199815.54
2,1966,201975.222
2,1967,203981.928
2,1968,205880.418
2,1969,207733.004
2,1970,209588.15
2,1971,211461.598
2,1972,213351.773
2,1973,215268.687
2,1974,217218.393
2,1975,219205.296
2,1976,221239.215
2,1977,223324.042
2,1978,225449.657
2,1979,227599.878
2,1980,229763.052
2,1981,231938.963
2,1982,234132.632
2,1983,236344.004
2,1984,238573.861
2,1985,240824.12
2,1986,243098.935
2,1987,245402.864
2,1988,247739.582
2,1989,250113.187
2,1990,252529.95
2,1991,254974.819
2,1992,257454.273
2,1993,260020.186
2,1994,262741.566
2,1995,265658.849
2,1996,268803.424
2,1997,272136.551
2,1998,275542.603
2,1999,278862.277
2,2e3,281982.778
2,2001,284852.391
2,2002,287506.847
2,2003,290027.624
2,2004,292539.324
2,2005,295129.501
2,2006,297827.356
2,2007,300595.175
2,2008,303374.067
2,2009,306076.362
2,2010,308641.391
2,2011,311051.373
2,2012,313335.423
2,2013,315536.676
2,2014,317718.779
2,2015,319929.162
2,2016,322179.605
2,2017,324459.463
2,2018,326766.748
2,2019,329093.11
20,1867,3463
20,1868,3511
20,1869,3565
20,1870,3625
20,1871,3688.94
20,1872,3754
20,1873,3826
20,1874,3895
20,1875,3954
20,1876,4009
20,1877,4064
20,1878,4120
20,1879,4185
20,1880,4255
20,1881,4314.58
20,1882,4375
20,1883,4430
20,1884,4487
20,1885,4537
20,1886,4580
20,1887,4626
20,1888,4678
20,1889,4729
20,1890,4779
20,1891,4830.72
20,1892,4883
20,1893,4931
20,1894,4979
20,1895,5026
20,1896,5074
20,1897,5122
20,1898,5175
20,1899,5235
20,1900,5301
20,1901,5396.64
20,1902,5494
20,1903,5651
20,1904,5827
20,1905,6002
20,1906,6097
20,1907,6411
20,1908,6625
20,1909,6800
20,1910,6988
20,1911,7174.12
20,1912,7365.2
20,1913,7527.2
20,1914,7692.8
20,1915,7862.1
20,1916,8035.6
20,1917,8180.2
20,1918,8328.4
20,1919,8478.5
20,1920,8556
20,1921,8788
20,1922,8919
20,1923,9010
20,1924,9143
20,1925,9294
20,1926,9451
20,1927,9637
20,1928,9835
20,1929,10029
20,1930,10208
20,1931,10377
20,1932,10510
20,1933,10633
20,1934,10741
20,1935,10845
20,1936,10950
20,1937,11045
20,1938,11152
20,1939,11267
20,1940,11381
20,1941,11507
20,1942,11654
20,1943,11795
20,1944,11946
20,1945,12072
20,1946,12292
20,1947,12551
20,1948,13167
20,1949,13475
20,1950,13733.402
20,1951,14098.675
20,1952,14482.057
20,1953,14884.172
20,1954,15303.889
20,1955,15738.362
20,1956,16182.877
20,1957,16630.976
20,1958,17074.869
20,1959,17506.053
20,1960,17917.236
20,1961,18304.387
20,1962,18668.576
20,1963,19016.655
20,1964,19359.165
20,1965,19703.883
20,1966,20051.96
20,1967,20401.082
20,1968,20751.373
20,1969,21102.23
20,1970,21452.737
20,1971,21804.269
20,1972,22156.208
20,1973,22503.243
20,1974,22838.19
20,1975,23156.209
20,1976,23456.507
20,1977,23741.589
20,1978,24014.082
20,1979,24278.047
20,1980,24537.422
20,1981,24791.139
20,1982,25040.948
20,1983,25296.84
20,1984,25571.673
20,1985,25873.949
20,1986,26208.08
20,1987,26569.766
20,1988,26947.842
20,1989,27326.166
20,1990,27692.68
20,1991,28044.606
20,1992,28384.35
20,1993,28711.303
20,1994,29026.188
20,1995,29330.073
20,1996,29622.132
20,1997,29903.15
20,1998,30178.134
20,1999,30453.884
20,2e3,30735.773
20,2001,31024.732
20,2002,31320.889
20,2003,31627.806
20,2004,31949.417
20,2005,32287.98
20,2006,32645.483
20,2007,33019.932
20,2008,33404.548
20,2009,33789.831
20,2010,34168.668
20,2011,34538.622
20,2012,34900.705
20,2013,35255.495
20,2014,35604.728
20,2015,35949.709
20,2016,36289.822
20,2017,36624.199
20,2018,36953.765
20,2019,37279.811
31,1973,181.488
31,1974,185.099
31,1975,188.882
31,1976,192.902
31,1977,197.111
31,1978,201.513
31,1979,206.032
31,1980,210.661
31,1981,215.396
31,1982,220.275
31,1983,225.187
31,1984,230.015
31,1985,234.687
31,1986,239.131
31,1987,243.393
31,1988,247.579
31,1989,251.849
31,1990,256.336
31,1991,261.116
31,1992,266.134
31,1993,271.165
31,1994,275.895
31,1995,280.15
31,1996,283.79
31,1997,286.97
31,1998,290.06
31,1999,293.572
31,2e3,297.89
31,2001,303.135
31,2002,309.157
31,2003,315.746
31,2004,322.526
31,2005,329.249
31,2006,335.83
31,2007,342.328
31,2008,348.676
31,2009,354.856
31,2010,360.832
31,2011,366.568
31,2012,372.039
31,2013,377.24
31,2014,382.169
31,2015,386.838
31,2016,391.232
31,2017,395.361
31,2018,399.285
31,2019,403.095
40,1902,1760
40,1903,1840
40,1904,1880
40,1905,1930
40,1906,1980
40,1907,2034.72
40,1908,2092
40,1909,2150
40,1910,2220
40,1911,2290
40,1912,2360
40,1913,2410
40,1914,2510
40,1915,2590
40,1916,2660
40,1917,2750
40,1918,2830
40,1919,2910
40,1920,3e3
40,1921,3080
40,1922,3180
40,1923,3260
40,1924,3350
40,1925,3430
40,1926,3520
40,1927,3610
40,1928,3510
40,1929,3580
40,1930,3650
40,1931,3960
40,1932,3960
40,1933,3960
40,1934,4040
40,1935,4070
40,1936,4110
40,1937,4170
40,1938,4230
40,1939,4250
40,1940,4290
40,1941,4330
40,1942,4370
40,1943,4780
40,1944,4850
40,1945,4930
40,1946,5040
40,1947,5150
40,1948,5287
40,1949,5399
40,1950,5919.993
40,1951,6051.291
40,1952,6180.031
40,1953,6304.523
40,1954,6424.172
40,1955,6539.469
40,1956,6652.09
40,1957,6764.786
40,1958,6881.21
40,1959,7005.481
40,1960,7141.135
40,1961,7289.826
40,1962,7450.402
40,1963,7618.354
40,1964,7787.146
40,1965,7951.933
40,1966,8110.43
40,1967,8263.546
40,1968,8413.327
40,1969,8563.193
40,1970,8715.123
40,1971,8869.961
40,1972,9025.3
40,1973,9176.052
40,1974,9315.373
40,1975,9438.442
40,1976,9544.271
40,1977,9634.68
40,1978,9711.392
40,1979,9777.29
40,1980,9835.177
40,1981,9884.213
40,1982,9925.623
40,1983,9966.733
40,1984,10017.059
40,1985,10082.989
40,1986,10168.087
40,1987,10269.567
40,1988,10379.548
40,1989,10486.509
40,1990,10582.081
40,1991,10663.585
40,1992,10733.363
40,1993,10794.135
40,1994,10850.585
40,1995,10906.043
40,1996,10961.012
40,1997,11013.983
40,1998,11064.097
40,1999,11110.004
40,2e3,11150.736
40,2001,11186.542
40,2002,11217.998
40,2003,11244.885
40,2004,11266.941
40,2005,11284.253
40,2006,11296.233
40,2007,11303.687
40,2008,11309.754
40,2009,11318.602
40,2010,11333.051
40,2011,11354.651
40,2012,11382.146
