iso2c,country,n
AG,Antigua and Barbuda,60
AS,American Samoa,60
AW,Aruba,60
BM,Bermuda,60
CW,Curacao,60
DM,Dominica,60
FM,"Micronesia, Fed. Sts.",60
FO,Faroe Islands,60
GD,Grenada,60
GI,Gibraltar,60
GL,Greenland,60
GU,Guam,60
HK,"Hong Kong SAR, China",60
IM,Isle of Man,60
JG,Channel Islands,60
KI,Kiribati,60
KN,St. Kitts and Nevis,60
KY,Cayman Islands,60
LC,St. Lucia,60
LI,Liechtenstein,60
MC,Monaco,60
MF,St. Martin (French part),60
MH,Marshall Islands,60
MO,"Macao SAR, China",60
MP,Northern Mariana Islands,60
NC,New Caledonia,60
NR,Nauru,60
PF,French Polynesia,60
PR,Puerto Rico,60
PS,West Bank and Gaza,60
PW,Palau,60
SC,Seychelles,60
SM,San Marino,60
ST,Sao Tome and Principe,60
SX,Sint Maarten (Dutch part),60
TC,Turks and Caicos Islands,60
TO,Tonga,60
TV,Tuvalu,60
VC,St. Vincent and the Grenadines,60
VG,British Virgin Islands,60
VI,Virgin Islands (U.S.),60
VU,Vanuatu,60
WS,Samoa,60
