gwcode,year,lag1_infmort,lag1_infmort_yearadj,lag1_infmort_imputed
2,1960,25.9,-1.225055001354674,FALSE
2,1961,25.9,-1.2469535232414206,FALSE
2,1962,25.4,-1.2587831859167389,FALSE
2,1963,24.9,-1.2537203586516534,FALSE
2,1964,24.4,-1.2420486299659177,FALSE
2,1965,23.8,-1.2390474354986316,FALSE
2,1966,23.3,-1.2378998968208306,FALSE
2,1967,22.7,-1.2336526334027875,FALSE
2,1968,22,-1.2469945333914807,FALSE
2,1969,21.3,-1.2460124252993783,FALSE
2,1970,20.6,-1.2390670832228905,FALSE
2,1971,19.9,-1.240998194882498,FALSE
2,1972,19.1,-1.2379568010198598,FALSE
2,1973,18.3,-1.2266914299641503,FALSE
2,1974,17.5,-1.2245751511330503,FALSE
2,1975,16.7,-1.2436281701992575,FALSE
2,1976,15.9,-1.234747172395652,FALSE
2,1977,15.2,-1.230568350237226,FALSE
2,1978,14.5,-1.2188579739120635,FALSE
2,1979,13.8,-1.2088042206706886,FALSE
2,1980,13.2,-1.1978373028599467,FALSE
2,1981,12.6,-1.1878820946708661,FALSE
2,1982,12.1,-1.1752647875582989,FALSE
2,1983,11.7,-1.1608467262229305,FALSE
2,1984,11.3,-1.137893642510197,FALSE
2,1985,10.9,-1.12387660306744,FALSE
2,1986,10.6,-1.1077238825141202,FALSE
2,1987,10.4,-1.0899613363524776,FALSE
2,1988,10.2,-1.0732415439401444,FALSE
2,1989,9.9,-1.0593437476483203,FALSE
2,1990,9.7,-1.0474321279668752,FALSE
2,1991,9.4,-1.036576626137556,FALSE
2,1992,9.1,-1.0131052154385194,FALSE
2,1993,8.8,-1.0033335423018044,FALSE
2,1994,8.5,-0.9994593717885748,FALSE
2,1995,8.2,-0.99353033068026,FALSE
2,1996,7.9,-0.989336700054372,FALSE
2,1997,7.7,-0.9827611899507771,FALSE
2,1998,7.5,-0.9750381021479818,FALSE
2,1999,7.4,-0.9656204370948498,FALSE
2,2000,7.2,-0.957920387066499,FALSE
2,2001,7.1,-0.947687970355717,FALSE
