gwcode,year,NY.GDP.MKTP.KD,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.KD,NY.GDP.PCAP.KD.ZG
2,1950,2343208968447.384,3.844777384132553,15195.643557229758,0
20,1950,171262365015.4633,3.919008558414583,12462.925202702632,1.5181253440273976
40,1950,16593341673.551758,0.8999261876496838,2800.7951497687754,0.2988147611829599
41,1950,5079303685.681669,2.8095748160749268,1555.3455677465508,2.3119845747142813
42,1950,2136578786.3247645,0,897.7623521072537,0
70,1950,81874182217.08444,6.4484984067560465,2967.752763882958,3.7185531258365914
90,1950,5425156195.6416855,1.3588033944581142,1751.6336364810018,2.848928355314584e-5
91,1950,111194930.04555108,0,71.32738165933597,0
92,1950,13473613587.743265,0,6170.632729080326,-2.37612748335863
93,1950,1726509330.7772222,1.3676721525232882,1296.7243191593623,0.5027323801180568
94,1950,2071272157.5156586,7.955278171922638,2234.965500719345,0
95,1950,1723226320.7102613,-0.07572190848209157,2001.7730391011924,-0.4177697048908032
100,1950,17380263089.615723,4.226179088301409,1477.0358472036958,-0.34944172712438226
101,1950,16999005799.585875,9.009891185924792,3097.0068046286333,4.05220890727386
130,1950,5372153634.3115635,12.634951766487596,1527.572617852913,5.823377882734788
135,1950,21216688936.504036,1.2563814353436231,2763.520234352874,0.7324789496566035
140,1950,106253927432.59212,5.172314795694981,1989.4553483128968,1.6728253805973874
145,1950,6059814916.737025,0,1961.1248257626614,0.842231251309709
150,1950,2754581204.8380623,-6.66032274332918,1831.0840401504192,-7.285492678298698
155,1950,16161659454.428398,0,2438.179517793662,0
160,1950,158172063825.43277,0,9294.377986874853,0
165,1950,11734451064.486015,8.107322522285802,5251.696504643847,7.956954635760121
200,1950,610861213220.3737,0,12187.725824086403,0
205,1950,22278747446.891983,2.6960457900517216,7648.950904189781,0.3155916823904721
210,1950,105032211295.69891,4.92668187069897,10385.083021389322,3.4927717941223584
211,1950,78377529275.25456,3.7327295898232604,9095.220875345078,3.1975234663273584
212,1950,7263734591.007984,1.499162662727942,24492.52060986711,1.4507228434219468
220,1950,310729434510.8623,5.012700458536871,7418.965968386029,3.9716208398824846
221,1950,823997655.0465784,0,41900.67148288009,0
223,1950,446942544.39951384,9.2257770144598,32473.029708977647,7.384476726920058
225,1950,143000354058.2211,5.22710908246278,30473.317439276172,2.569758474425181
230,1950,125423201637.97682,8.308928498422471,4467.107774450609,7.412592675116235
232,1950,293298976.7736206,8.086227880708876,48915.7733111442,6.795246827889623
235,1950,24855153720.36707,6.619518268999904,2952.3124279548547,6.169072579354555
260,1950,335913657906.4966,7.768547898124884,4809.2244061020665,7.144067871083228
265,1950,103273360683.37311,0,5616.284393435633,0.20271374856956104
290,1950,59198393332.497314,1.4745193314866474,2388.9430473231114,0.8164664091444059
305,1950,53863486109.879105,4.734218548757258,7765.281951505464,4.553246394609043
310,1950,21691763832.257957,2.9206742941792303,2322.985803069332,2.7383759432075276
315,1950,46783898840.14151,0,3778.2400586492204,0
325,1950,324715593893.9301,4.636266617884372,6999.436954864974,3.913668160346362
331,1950,438380891.1034779,2.6409135661623404,33858.34262239644,2.565626726737414
339,1950,658277224.8963709,0,527.5287072706363,0
345,1950,25334335349.823162,3.704834897299848,1617.5512102996029,4.940448661893929
350,1950,26790275988.793186,4.320212387381645,3501.5029891592003,7.209297425708904
