gwcode,year,infmort,infmort_yearadj,infmort_imputed
2,1960,25.9,-1.2094970479873683,FALSE
2,1961,25.4,-1.2115081779095045,FALSE
2,1962,24.9,-1.2250030831446967,FALSE
2,1963,24.4,-1.2225203111795746,FALSE
2,1964,23.8,-1.214421834125374,FALSE
2,1965,23.3,-1.2100654979756111,FALSE
2,1966,22.7,-1.2108500593098928,FALSE
2,1967,22,-1.2087657744696978,FALSE
2,1968,21.3,-1.2223146040875121,FALSE
2,1969,20.6,-1.2203545893654586,FALSE
2,1970,19.9,-1.2134358143326125,FALSE
2,1971,19.1,-1.2067393155618982,FALSE
2,1972,18.3,-1.2115913380494525,FALSE
2,1973,17.5,-1.2011254936099904,FALSE
2,1974,16.7,-1.1981992085500466,FALSE
2,1975,15.9,-1.2133168775955523,FALSE
2,1976,15.2,-1.2021911348246412,FALSE
2,1977,14.5,-1.1990513941435978,FALSE
2,1978,13.8,-1.1879882093810115,FALSE
2,1979,13.2,-1.1776647211094255,FALSE
2,1980,12.6,-1.1687117652210186,FALSE
2,1981,12.1,-1.157245509022944,FALSE
2,1982,11.7,-1.1445287705447431,FALSE
2,1983,11.3,-1.1300366921154792,FALSE
2,1984,10.9,-1.1066996810658711,FALSE
2,1985,10.6,-1.091205693527805,FALSE
2,1986,10.4,-1.074287635293559,FALSE
2,1987,10.2,-1.057609655409424,FALSE
2,1988,9.9,-1.0436479247982478,FALSE
2,1989,9.7,-1.030638432441719,FALSE
2,1990,9.4,-1.0221374378887285,FALSE
2,1991,9.1,-1.02340389644873,FALSE
2,1992,8.8,-1.003716282979063,FALSE
2,1993,8.5,-0.9941534452252487,FALSE
2,1994,8.2,-0.9712336996871008,FALSE
2,1995,7.9,-0.9834217042874731,FALSE
2,1996,7.7,-0.9759784910502162,FALSE
2,1997,7.5,-0.9692523908879838,FALSE
2,1998,7.4,-0.9625003696322905,FALSE
2,1999,7.2,-0.9570286493318649,FALSE
2,2000,7.1,-0.9447458934218165,FALSE
2,2001,7,-0.9358931514067664,FALSE
2,2002,6.9,-0.9327099382948356,FALSE
2,2003,6.9,-0.920803801629095,FALSE
2,2004,6.8,-0.9141537079601425,FALSE
2,2005,6.7,-0.9010613592189298,FALSE
2,2006,6.7,-0.8792802715045827,FALSE
2,2007,6.6,-0.8744288883001685,FALSE
2,2008,6.5,-0.8613598596928349,FALSE
2,2009,6.4,-0.8537766901350762,FALSE
2,2010,6.2,-0.8393276520524738,FALSE
2,2011,6.1,-0.8470879983414813,FALSE
2,2012,6,-0.8407268477145065,FALSE
2,2013,6,-0.8296081993676029,FALSE
2,2014,5.9,-0.8223968613255591,FALSE
2,2015,5.8,-0.8147810724058039,FALSE
2,2016,5.7,-0.8107389323497896,FALSE
2,2017,5.7,-0.798540243158063,FALSE
2,2018,5.6,-0.7930151022274013,FALSE
2,2019,5.5,-0.7896818798213999,FALSE
2,2020,5.4,-0.7829235272837691,FALSE
20,1960,27.8,-1.1815982647847132,FALSE
20,1961,26.9,-1.1891894854865641,FALSE
20,1962,26,-1.2080983515749482,FALSE
20,1963,25,-1.2131046882770384,FALSE
20,1964,24,-1.2112500089721392,FALSE
20,1965,23.1,-1.213276519296938,FALSE
20,1966,22.1,-1.2207593202332456,FALSE
20,1967,21.2,-1.2222108721637732,FALSE
20,1968,20.3,-1.2394644338630096,FALSE
20,1969,19.4,-1.2412860627128486,FALSE
20,1970,18.5,-1.2382855768975385,FALSE
20,1971,17.6,-1.233632926253865,FALSE
20,1972,16.7,-1.2410456747100032,FALSE
20,1973,15.9,-1.231167582731387,FALSE
20,1974,15,-1.2302850385200073,FALSE
20,1975,14.1,-1.2476749298616021,FALSE
20,1976,13.3,-1.2390405795036605,FALSE
20,1977,12.5,-1.23855188455984,FALSE
20,1978,11.7,-1.2303241305097585,FALSE
20,1979,11,-1.222899186800321,FALSE
20,1980,10.3,-1.2169110787870385,FALSE
20,1981,9.7,-1.2086418578077573,FALSE
20,1982,9.2,-1.1989761393030145,FALSE
20,1983,8.7,-1.187386480870425,FALSE
20,1984,8.3,-1.16480367754474,FALSE
20,1985,8,-1.1500348869823886,FALSE
20,1986,7.7,-1.1362809442059207,FALSE
20,1987,7.5,-1.1202408363505783,FALSE
20,1988,7.3,-1.1045432046836288,FALSE
20,1989,7,-1.0945320617383385,FALSE
20,1990,6.8,-1.0844558365912214,FALSE
20,1991,6.6,-1.0857185168973422,FALSE
20,1992,6.4,-1.0642411885523382,FALSE
20,1993,6.2,-1.052762044288996,FALSE
20,1994,6,-1.0263780135998712,FALSE
20,1995,5.8,-1.0382539631365297,FALSE
20,1996,5.6,-1.0316694829048352,FALSE
20,1997,5.5,-1.0233169112430063,FALSE
20,1998,5.4,-1.0178133698661311,FALSE
20,1999,5.3,-1.0109674245173104,FALSE
20,2000,5.3,-0.997282758430258,FALSE
20,2001,5.3,-0.9871221408187898,FALSE
20,2002,5.3,-0.9824730848325152,FALSE
20,2003,5.3,-0.9722528926548739,FALSE
20,2004,5.3,-0.9640539361896425,FALSE
20,2005,5.2,-0.9525440875026755,FALSE
20,2006,5.2,-0.9325590495672645,FALSE
20,2007,5.1,-0.9293012982254392,FALSE
20,2008,5.1,-0.9139538770197445,FALSE
20,2009,5,-0.9082067658984349,FALSE
20,2010,5,-0.886363259883903,FALSE
20,2011,4.9,-0.8963865083480359,FALSE
20,2012,4.9,-0.8871903025409953,FALSE
20,2013,4.8,-0.8816372847208744,FALSE
20,2014,4.7,-0.8756401098306699,FALSE
20,2015,4.7,-0.864721733814834,FALSE
20,2016,4.6,-0.8620059018735904,FALSE
20,2017,4.6,-0.8509903383170309,FALSE
20,2018,4.5,-0.8467696560359603,FALSE
20,2019,4.4,-0.8447607266999873,FALSE
20,2020,4.4,-0.8341959167392649,FALSE
31,1973,26.7,-1.02838348116196,FALSE
31,1974,26.7,-1.0094590322561605,FALSE
31,1975,26.6,-1.0090773446807018,FALSE
31,1976,26.4,-0.984973355664107,FALSE
31,1977,26.1,-0.9699485497293927,FALSE
31,1978,25.8,-0.9460686600738839,FALSE
31,1979,25.4,-0.9268190477326416,FALSE
31,1980,25,-0.908854596430303,FALSE
31,1981,24.6,-0.8895561924353749,FALSE
31,1982,24.3,-0.8701140320030564,FALSE
31,1983,24.1,-0.8476992705526704,FALSE
31,1984,23.9,-0.8161796986715266,FALSE
31,1985,23.6,-0.7970597262548875,FALSE
31,1986,23.2,-0.7803934300793999,FALSE
31,1987,22.6,-0.7699701577537524,FALSE
31,1988,21.8,-0.7649349130151586,FALSE
31,1989,20.9,-0.7655981923964829,FALSE
31,1990,20,-0.7680701201016426,FALSE
31,1991,19.1,-0.7741454146542807,FALSE
31,1992,18.2,-0.7666604028170679,FALSE
31,1993,17.3,-0.7699118488074331,FALSE
31,1994,16.5,-0.7631892426525574,FALSE
31,1995,15.7,-0.7797590285624063,FALSE
31,1996,15.1,-0.7797340435625111,FALSE
31,1997,14.5,-0.7800265696454054,FALSE
31,1998,14.1,-0.7772018188489237,FALSE
31,1999,13.9,-0.766823494730558,FALSE
31,2000,13.9,-0.7462732922788152,FALSE
31,2001,14,-0.7249502538278471,FALSE
31,2002,14.1,-0.7087757788752771,FALSE
31,2003,14.3,-0.6828517556348669,FALSE
31,2004,14.4,-0.6613258849306756,FALSE
31,2005,14.4,-0.6367833540290355,FALSE
31,2006,14.3,-0.6093344626536609,FALSE
31,2007,14.1,-0.6000668386738155,FALSE
31,2008,13.9,-0.5833629109648851,FALSE
31,2009,13.6,-0.5738505862092321,FALSE
31,2010,13.3,-0.5610336390498512,FALSE
31,2011,13,-0.5636215658037913,FALSE
31,2012,12.8,-0.553498217878029,FALSE
31,2013,12.5,-0.5477839870373817,FALSE
31,2014,12.2,-0.542869806673728,FALSE
31,2015,12,-0.5332973444639987,FALSE
31,2016,11.7,-0.5311009167654206,FALSE
31,2017,11.4,-0.526753386425229,FALSE
31,2018,11.2,-0.5193555555656456,FALSE
31,2019,14.5,-0.3390367689965947,FALSE
31,2020,10.5,-0.5214343410607405,FALSE
40,1960,42.9,-0.9598763561741365,FALSE
40,1961,41.3,-0.9749300382263365,FALSE
40,1962,39.8,-0.9960208100635597,FALSE
40,1963,38.3,-1.0043917139374867,FALSE
40,1964,36.9,-1.0066672865884803,FALSE
40,1965,35.4,-1.0157987080353317,FALSE
40,1966,34.1,-1.0225741017661887,FALSE
40,1967,32.7,-1.028937592811438,FALSE
40,1968,31.3,-1.0508163063325378,FALSE
40,1969,30,-1.056391381477568,FALSE
40,1970,28.7,-1.057237306781649,FALSE
40,1971,27.4,-1.0579280030663494,FALSE
40,1972,26.1,-1.0680014468292676,FALSE
40,1973,24.9,-1.0621808314235313,FALSE
40,1974,23.7,-1.0660810851443263,FALSE
40,1975,22.6,-1.0854285719385899,FALSE
40,1976,21.5,-1.0800061340468408,FALSE
40,1977,20.4,-1.0825249474156833,FALSE
40,1978,19.4,-1.0750924197043519,FALSE
40,1979,18.4,-1.0707468931127635,FALSE
40,1980,17.5,-1.0660262711021067,FALSE
40,1981,16.7,-1.0587358405187186,FALSE
40,1982,15.9,-1.0530571910308477,FALSE
40,1983,15.1,-1.0462177700890205,FALSE
40,1984,14.4,-1.0284827627289321,FALSE
40,1985,13.7,-1.021063193639648,FALSE
40,1986,13.1,-1.0122943263811974,FALSE
40,1987,12.5,-1.0042571679410333,FALSE
40,1988,11.9,-0.9968054018094934,FALSE
40,1989,11.3,-0.9927755410066852,FALSE
40,1990,10.8,-0.9885813770489248,FALSE
40,1991,10.3,-0.993492878633396,FALSE
40,1992,9.8,-0.9784975723235315,FALSE
40,1993,9.4,-0.9712196455916086,FALSE
40,1994,9,-0.9511812219006388,FALSE
40,1995,8.6,-0.9651442846711209,FALSE
40,1996,8.3,-0.9600667790917536,FALSE
40,1997,7.9,-0.9584394868169793,FALSE
40,1998,7.6,-0.9569690696089063,FALSE
40,1999,7.3,-0.954189766427368,FALSE
40,2000,7,-0.9476646081445077,FALSE
40,2001,6.8,-0.9419200913375927,FALSE
40,2002,6.5,-0.9451507249292554,FALSE
40,2003,6.3,-0.9400972107637621,FALSE
40,2004,6.1,-0.9374404811339091,FALSE
40,2005,5.9,-0.9285188143035942,FALSE
40,2006,5.7,-0.9147994568797039,FALSE
40,2007,5.5,-0.9146686555787003,FALSE
40,2008,5.4,-0.9026837304496923,FALSE
40,2009,5.2,-0.9004310407893837,FALSE
40,2010,5.1,-0.8824436258979506,FALSE
40,2011,5,-0.8922782991808231,FALSE
40,2012,4.8,-0.8914142529797671,FALSE
40,2013,4.7,-0.8859730418336472,FALSE
40,2014,4.6,-0.8800770472060956,FALSE
40,2015,4.5,-0.8738018540710212,FALSE
40,2016,4.4,-0.8713271690597362,FALSE
40,2017,4.3,-0.8652949097240222,FALSE
40,2018,4.3,-0.8565432112738801,FALSE
40,2019,4.2,-0.854775062496094,FALSE
40,2020,4.1,-0.8495776335759139,FALSE
