gwcode,year,missing_values_in
2,2021,"dv_v2x_freexp_altinf_down_next2, dv_v2x_freexp_altinf_up_next2, dv_v2x_horacc_osp_down_next2, dv_v2x_horacc_osp_up_next2, dv_v2x_pubcorr_down_next2, dv_v2x_pubcorr_up_next2, dv_v2x_veracc_osp_down_next2, dv_v2x_veracc_osp_up_next2, dv_v2xcl_rol_down_next2, dv_v2xcl_rol_up_next2, dv_v2xcs_ccsi_down_next2, dv_v2xcs_ccsi_up_next2"
20,2021,"dv_v2x_freexp_altinf_down_next2, dv_v2x_freexp_altinf_up_next2, dv_v2x_horacc_osp_down_next2, dv_v2x_horacc_osp_up_next2, dv_v2x_pubcorr_down_next2, dv_v2x_pubcorr_up_next2, dv_v2x_veracc_osp_down_next2, dv_v2x_veracc_osp_up_next2, dv_v2xcl_rol_down_next2, dv_v2xcl_rol_up_next2, dv_v2xcs_ccsi_down_next2, dv_v2xcs_ccsi_up_next2"
40,2021,"dv_v2x_freexp_altinf_down_next2, dv_v2x_freexp_altinf_up_next2, dv_v2x_horacc_osp_down_next2, dv_v2x_horacc_osp_up_next2, dv_v2x_pubcorr_down_next2, dv_v2x_pubcorr_up_next2, dv_v2x_veracc_osp_down_next2, dv_v2x_veracc_osp_up_next2, dv_v2xcl_rol_down_next2, dv_v2xcl_rol_up_next2, dv_v2xcs_ccsi_down_next2, dv_v2xcs_ccsi_up_next2"
41,2021,"dv_v2x_freexp_altinf_down_next2, dv_v2x_freexp_altinf_up_next2, dv_v2x_horacc_osp_down_next2, dv_v2x_horacc_osp_up_next2, dv_v2x_pubcorr_down_next2, dv_v2x_pubcorr_up_next2, dv_v2x_veracc_osp_down_next2, dv_v2x_veracc_osp_up_next2, dv_v2xcl_rol_down_next2, dv_v2xcl_rol_up_next2, dv_v2xcs_ccsi_down_next2, dv_v2xcs_ccsi_up_next2"
42,2021,"dv_v2x_freexp_altinf_down_next2, dv_v2x_freexp_altinf_up_next2, dv_v2x_horacc_osp_down_next2, dv_v2x_horacc_osp_up_next2, dv_v2x_pubcorr_down_next2, dv_v2x_pubcorr_up_next2, dv_v2x_veracc_osp_down_next2, dv_v2x_veracc_osp_up_next2, dv_v2xcl_rol_down_next2, dv_v2xcl_rol_up_next2, dv_v2xcs_ccsi_down_next2, dv_v2xcs_ccsi_up_next2"
51,2021,"dv_v2x_freexp_altinf_down_next2, dv_v2x_freexp_altinf_up_next2, dv_v2x_horacc_osp_down_next2, dv_v2x_horacc_osp_up_next2, dv_v2x_pubcorr_down_next2, dv_v2x_pubcorr_up_next2, dv_v2x_veracc_osp_down_next2, dv_v2x_veracc_osp_up_next2, dv_v2xcl_rol_down_next2, dv_v2xcl_rol_up_next2, dv_v2xcs_ccsi_down_next2, dv_v2xcs_ccsi_up_next2"
52,2021,"dv_v2x_freexp_altinf_down_next2, dv_v2x_freexp_altinf_up_next2, dv_v2x_horacc_osp_down_next2, dv_v2x_horacc_osp_up_next2, dv_v2x_pubcorr_down_next2, dv_v2x_pubcorr_up_next2, dv_v2x_veracc_osp_down_next2, dv_v2x_veracc_osp_up_next2, dv_v2xcl_rol_down_next2, dv_v2xcl_rol_up_next2, dv_v2xcs_ccsi_down_next2, dv_v2xcs_ccsi_up_next2"
53,2021,"dv_v2x_freexp_altinf_down_next2, dv_v2x_freexp_altinf_up_next2, dv_v2x_horacc_osp_down_next2, dv_v2x_horacc_osp_up_next2, dv_v2x_pubcorr_down_next2, dv_v2x_pubcorr_up_next2, dv_v2x_veracc_osp_down_next2, dv_v2x_veracc_osp_up_next2, dv_v2xcl_rol_down_next2, dv_v2xcl_rol_up_next2, dv_v2xcs_ccsi_down_next2, dv_v2xcs_ccsi_up_next2"
70,2021,"dv_v2x_freexp_altinf_down_next2, dv_v2x_freexp_altinf_up_next2, dv_v2x_horacc_osp_down_next2, dv_v2x_horacc_osp_up_next2, dv_v2x_pubcorr_down_next2, dv_v2x_pubcorr_up_next2, dv_v2x_veracc_osp_down_next2, dv_v2x_veracc_osp_up_next2, dv_v2xcl_rol_down_next2, dv_v2xcl_rol_up_next2, dv_v2xcs_ccsi_down_next2, dv_v2xcs_ccsi_up_next2"
90,2021,"dv_v2x_freexp_altinf_down_next2, dv_v2x_freexp_altinf_up_next2, dv_v2x_horacc_osp_down_next2, dv_v2x_horacc_osp_up_next2, dv_v2x_pubcorr_down_next2, dv_v2x_pubcorr_up_next2, dv_v2x_veracc_osp_down_next2, dv_v2x_veracc_osp_up_next2, dv_v2xcl_rol_down_next2, dv_v2xcl_rol_up_next2, dv_v2xcs_ccsi_down_next2, dv_v2xcs_ccsi_up_next2"
