outcome,from_year,for_years,gwcode,p_up,p_same,p_down
v2x_freexp_altinf,2005,2006 - 2007,2,0,0.998,0.002
v2x_freexp_altinf,2005,2006 - 2007,20,0.0015,0.99800075,5e-4
v2x_freexp_altinf,2005,2006 - 2007,40,0.0145,0.9855,0
v2x_freexp_altinf,2005,2006 - 2007,41,0.47507142857142853,0.4957950357142857,0.0555
v2x_freexp_altinf,2005,2006 - 2007,42,0.0075,0.98604875,0.0065
v2x_freexp_altinf,2005,2006 - 2007,51,5e-4,0.9885055,0.011
v2x_freexp_altinf,2005,2006 - 2007,52,0,0.993,0.007
v2x_freexp_altinf,2005,2006 - 2007,53,0.0015,0.9975015,0.001
v2x_freexp_altinf,2005,2006 - 2007,70,0.018,0.963833,0.0185
v2x_freexp_altinf,2005,2006 - 2007,90,0.021,0.9706785,0.0085
v2x_freexp_altinf,2005,2006 - 2007,91,0.0165,0.9784185833333334,0.00516666666666666
v2x_freexp_altinf,2005,2006 - 2007,92,0.0265,0.96814575,0.0055
v2x_freexp_altinf,2005,2006 - 2007,93,0.0085,0.9786105,0.013
v2x_freexp_altinf,2005,2006 - 2007,94,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,95,0.0095,0.9758488541666668,0.01479166666666666
v2x_freexp_altinf,2005,2006 - 2007,100,0.0275,0.9336,0.04
v2x_freexp_altinf,2005,2006 - 2007,101,0.222,0.69242,0.11
v2x_freexp_altinf,2005,2006 - 2007,110,0.007,0.988035,0.005
v2x_freexp_altinf,2005,2006 - 2007,115,0.0025,0.9910162500000002,0.0065
v2x_freexp_altinf,2005,2006 - 2007,130,0.01725,0.96997425,0.013
v2x_freexp_altinf,2005,2006 - 2007,135,0.0025,0.9945075,0.003
v2x_freexp_altinf,2005,2006 - 2007,140,0.0085,0.956053875,0.03575
v2x_freexp_altinf,2005,2006 - 2007,145,0.203,0.7758794999999999,0.0265
v2x_freexp_altinf,2005,2006 - 2007,150,0.016,0.952512,0.032
v2x_freexp_altinf,2005,2006 - 2007,155,0.001,0.977022,0.022
v2x_freexp_altinf,2005,2006 - 2007,160,0.0225,0.91542875,0.0635
v2x_freexp_altinf,2005,2006 - 2007,165,0,0.9975,0.0025
v2x_freexp_altinf,2005,2006 - 2007,200,0,0.9915,0.0085
v2x_freexp_altinf,2005,2006 - 2007,205,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,210,0,0.999,0.001
v2x_freexp_altinf,2005,2006 - 2007,211,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,212,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,220,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,225,0,0.999,0.001
v2x_freexp_altinf,2005,2006 - 2007,230,0,0.9995,5e-4
v2x_freexp_altinf,2005,2006 - 2007,235,0,0.992,0.008
v2x_freexp_altinf,2005,2006 - 2007,260,0,0.9829666666666668,0.01703333333333333
v2x_freexp_altinf,2005,2006 - 2007,290,0,0.9603,0.0397
v2x_freexp_altinf,2005,2006 - 2007,305,0,0.9995,5e-4
v2x_freexp_altinf,2005,2006 - 2007,310,0,0.9995,5e-4
v2x_freexp_altinf,2005,2006 - 2007,316,0,0.999,0.001
v2x_freexp_altinf,2005,2006 - 2007,317,0,0.9965,0.0035
v2x_freexp_altinf,2005,2006 - 2007,325,5e-4,0.995502,0.004
v2x_freexp_altinf,2005,2006 - 2007,339,0.034,0.942333,0.0245
v2x_freexp_altinf,2005,2006 - 2007,343,0.062,0.898135,0.0425
v2x_freexp_altinf,2005,2006 - 2007,344,0.011,0.9730111666666666,0.01616666666666666
v2x_freexp_altinf,2005,2006 - 2007,345,0.035,0.9577625,0.0075
v2x_freexp_altinf,2005,2006 - 2007,346,0.0375,0.94565625,0.0175
v2x_freexp_altinf,2005,2006 - 2007,349,0.004,0.987036,0.009
v2x_freexp_altinf,2005,2006 - 2007,350,0,0.9985,0.0015
v2x_freexp_altinf,2005,2006 - 2007,352,0.0055,0.992511,0.002
v2x_freexp_altinf,2005,2006 - 2007,355,0.0055,0.96516225,0.0295
v2x_freexp_altinf,2005,2006 - 2007,359,0.0575,0.90527125,0.0395
v2x_freexp_altinf,2005,2006 - 2007,360,0.3175,0.6108375,0.105
v2x_freexp_altinf,2005,2006 - 2007,365,0.088,0.8622960000000001,0.0545
v2x_freexp_altinf,2005,2006 - 2007,366,0,0.9995,5e-4
v2x_freexp_altinf,2005,2006 - 2007,367,5e-4,0.9985005,0.001
v2x_freexp_altinf,2005,2006 - 2007,368,0,0.999,0.001
v2x_freexp_altinf,2005,2006 - 2007,369,0.19925,0.637797375,0.2035
v2x_freexp_altinf,2005,2006 - 2007,370,0.064,0.8985599999999999,0.04
v2x_freexp_altinf,2005,2006 - 2007,371,0.034,0.9435405,0.02325
v2x_freexp_altinf,2005,2006 - 2007,372,0.0785,0.89155125,0.0325
v2x_freexp_altinf,2005,2006 - 2007,373,0.0525,0.94039375,0.0075
v2x_freexp_altinf,2005,2006 - 2007,375,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,380,0,0.9995,5e-4
v2x_freexp_altinf,2005,2006 - 2007,385,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,390,0,0.9995,5e-4
v2x_freexp_altinf,2005,2006 - 2007,395,0,0.999,0.001
v2x_freexp_altinf,2005,2006 - 2007,402,0.001,0.9965025,0.0025
v2x_freexp_altinf,2005,2006 - 2007,404,0.043,0.9498225,0.0075
v2x_freexp_altinf,2005,2006 - 2007,411,0.022,0.977022,0.001
v2x_freexp_altinf,2005,2006 - 2007,420,0.0255,0.9696275,0.005
v2x_freexp_altinf,2005,2006 - 2007,432,0.0025,0.9945075,0.003
v2x_freexp_altinf,2005,2006 - 2007,433,0.001,0.9965025,0.0025
v2x_freexp_altinf,2005,2006 - 2007,434,0.008,0.980096,0.012
v2x_freexp_altinf,2005,2006 - 2007,435,0.45725,0.499058625,0.0805
v2x_freexp_altinf,2005,2006 - 2007,436,0.0145,0.8846915625,0.10229166666666668
v2x_freexp_altinf,2005,2006 - 2007,437,0.095,0.8954975000000001,0.0105
v2x_freexp_altinf,2005,2006 - 2007,438,0.059,0.9311195,0.0105
v2x_freexp_altinf,2005,2006 - 2007,439,0.0215,0.9677365,0.011
v2x_freexp_altinf,2005,2006 - 2007,450,0.263,0.70180825,0.04775
v2x_freexp_altinf,2005,2006 - 2007,451,0.023,0.92057825,0.05775
v2x_freexp_altinf,2005,2006 - 2007,452,0.007,0.9895245,0.0035
v2x_freexp_altinf,2005,2006 - 2007,461,0.3295,0.6403274999999999,0.045
v2x_freexp_altinf,2005,2006 - 2007,471,0.0475,0.95011875,0.0025
v2x_freexp_altinf,2005,2006 - 2007,475,0.008,0.988032,0.004
v2x_freexp_altinf,2005,2006 - 2007,481,0.025,0.966225,0.009
v2x_freexp_altinf,2005,2006 - 2007,482,0.1257,0.85725115,0.0195
v2x_freexp_altinf,2005,2006 - 2007,483,0.089,0.8950575000000001,0.0175
v2x_freexp_altinf,2005,2006 - 2007,484,0.015,0.98303,0.002
v2x_freexp_altinf,2005,2006 - 2007,490,0.1,0.88785,0.0135
v2x_freexp_altinf,2005,2006 - 2007,500,0.0515,0.92905575,0.0205
v2x_freexp_altinf,2005,2006 - 2007,501,0.06075,0.9336145,0.006
v2x_freexp_altinf,2005,2006 - 2007,510,0.063,0.9168545,0.0215
v2x_freexp_altinf,2005,2006 - 2007,516,0.219,0.745855,0.045
v2x_freexp_altinf,2005,2006 - 2007,517,0.069,0.9175005,0.0145
v2x_freexp_altinf,2005,2006 - 2007,520,0.1525,0.7941075000000001,0.063
v2x_freexp_altinf,2005,2006 - 2007,522,0.0325,0.962904375,0.00475
v2x_freexp_altinf,2005,2006 - 2007,530,0.0355,0.7844198125,0.18670833333333337
v2x_freexp_altinf,2005,2006 - 2007,531,0.01816666666666666,0.9818333333333332,0
v2x_freexp_altinf,2005,2006 - 2007,540,0.06225,0.932592375,0.0055
v2x_freexp_altinf,2005,2006 - 2007,541,0.0225,0.97359,0.004
v2x_freexp_altinf,2005,2006 - 2007,551,0.0335,0.93798825,0.0295
v2x_freexp_altinf,2005,2006 - 2007,552,0.09620833333333333,0.6700108888888888,0.2586666666666667
v2x_freexp_altinf,2005,2006 - 2007,553,0.0785,0.89800175,0.0255
v2x_freexp_altinf,2005,2006 - 2007,560,0.0045,0.98703825,0.0085
v2x_freexp_altinf,2005,2006 - 2007,565,0.001,0.9955035,0.0035
v2x_freexp_altinf,2005,2006 - 2007,570,0.023,0.972115,0.005
v2x_freexp_altinf,2005,2006 - 2007,571,5e-4,0.9995,0
v2x_freexp_altinf,2005,2006 - 2007,572,0.049,0.944343,0.007
v2x_freexp_altinf,2005,2006 - 2007,580,0.053,0.9058055,0.0435
v2x_freexp_altinf,2005,2006 - 2007,581,0.0395,0.95329625,0.0075
v2x_freexp_altinf,2005,2006 - 2007,590,0.001,0.996003,0.003
v2x_freexp_altinf,2005,2006 - 2007,600,0.0575,0.93071875,0.0125
v2x_freexp_altinf,2005,2006 - 2007,615,0.0475,0.9477375,0.005
v2x_freexp_altinf,2005,2006 - 2007,616,0.0285,0.97101425,5e-4
v2x_freexp_altinf,2005,2006 - 2007,620,0.0015,0.9985,0
v2x_freexp_altinf,2005,2006 - 2007,625,0.139,0.8123535,0.0565
v2x_freexp_altinf,2005,2006 - 2007,630,0.224,0.4297931428571428,0.4461428571428572
v2x_freexp_altinf,2005,2006 - 2007,640,0.0835,0.87479925,0.0455
v2x_freexp_altinf,2005,2006 - 2007,645,0.23783333333333337,0.71681775,0.0595
v2x_freexp_altinf,2005,2006 - 2007,651,0.1925,0.77479625,0.0405
v2x_freexp_altinf,2005,2006 - 2007,652,0.0275,0.9725,0
v2x_freexp_altinf,2005,2006 - 2007,660,0.3357916666666667,0.6409610416666666,0.035
v2x_freexp_altinf,2005,2006 - 2007,663,0.048,0.951048,0.001
v2x_freexp_altinf,2005,2006 - 2007,666,0.0075,0.9915075,0.001
v2x_freexp_altinf,2005,2006 - 2007,670,0.049,0.9400635,0.0115
v2x_freexp_altinf,2005,2006 - 2007,678,0.031,0.967062,0.002
v2x_freexp_altinf,2005,2006 - 2007,690,0.018875,0.97131375,0.01
v2x_freexp_altinf,2005,2006 - 2007,694,0.0065,0.99200975,0.0015
v2x_freexp_altinf,2005,2006 - 2007,696,0.0301,0.96165585,0.0085
v2x_freexp_altinf,2005,2006 - 2007,698,0.028375,0.9521925,0.02
v2x_freexp_altinf,2005,2006 - 2007,700,0.1745,0.78959075,0.0435
v2x_freexp_altinf,2005,2006 - 2007,701,0.0175,0.9825,0
v2x_freexp_altinf,2005,2006 - 2007,702,0.11575,0.847553625,0.0415
v2x_freexp_altinf,2005,2006 - 2007,703,0.31,0.6096149999999999,0.1165
v2x_freexp_altinf,2005,2006 - 2007,704,0.057,0.943,0
v2x_freexp_altinf,2005,2006 - 2007,705,0.05925,0.93040175,0.011
v2x_freexp_altinf,2005,2006 - 2007,710,0.09382142857142856,0.43768424999999994,0.517
v2x_freexp_altinf,2005,2006 - 2007,712,0.003,0.97511585,0.02195
v2x_freexp_altinf,2005,2006 - 2007,713,0.0025,0.99351,0.004
v2x_freexp_altinf,2005,2006 - 2007,731,0.0085,0.9915,0
v2x_freexp_altinf,2005,2006 - 2007,732,0,0.992,0.008
v2x_freexp_altinf,2005,2006 - 2007,740,0.0025,0.99400875,0.0035
v2x_freexp_altinf,2005,2006 - 2007,750,0.0185,0.95450875,0.0275
v2x_freexp_altinf,2005,2006 - 2007,760,0.6091666666666666,0.3820395833333334,0.0225
v2x_freexp_altinf,2005,2006 - 2007,770,0.0475,0.94154625,0.0115
v2x_freexp_altinf,2005,2006 - 2007,771,0.0325,0.96217875,0.0055
v2x_freexp_altinf,2005,2006 - 2007,775,0.0055,0.9935055,0.001
v2x_freexp_altinf,2005,2006 - 2007,780,0.1925,0.5793812500000001,0.2825
v2x_freexp_altinf,2005,2006 - 2007,781,0.43075,0.5056363125000001,0.11175
v2x_freexp_altinf,2005,2006 - 2007,790,0.5795,0.38370625,0.0875
v2x_freexp_altinf,2005,2006 - 2007,800,0.1635,0.49228025,0.4115
v2x_freexp_altinf,2005,2006 - 2007,811,0.0185,0.97708325,0.0045
v2x_freexp_altinf,2005,2006 - 2007,812,0.0045,0.9955,0
v2x_freexp_altinf,2005,2006 - 2007,816,0.06,0.92966,0.011
v2x_freexp_altinf,2005,2006 - 2007,820,0.2733333333333333,0.7114066666666666,0.021
v2x_freexp_altinf,2005,2006 - 2007,830,0.013,0.985026,0.002
v2x_freexp_altinf,2005,2006 - 2007,840,0.06735714285714287,0.9017324081632652,0.03314285714285714
v2x_freexp_altinf,2005,2006 - 2007,850,0.0427,0.9496416,0.008
v2x_freexp_altinf,2005,2006 - 2007,860,0.017,0.9677635,0.0155
v2x_freexp_altinf,2005,2006 - 2007,900,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,910,0.0015,0.9985,0
v2x_freexp_altinf,2005,2006 - 2007,920,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,940,0.09,0.8778466666666667,0.03533333333333333
v2x_freexp_altinf,2005,2006 - 2007,950,0.013,0.9835455,0.0035
v2x_freexp_altinf,2006,2007 - 2008,2,0,0.988,0.012
v2x_freexp_altinf,2006,2007 - 2008,20,0.0015,0.995754125,0.00275
v2x_freexp_altinf,2006,2007 - 2008,40,0.0115,0.9885,0
v2x_freexp_altinf,2006,2007 - 2008,41,0.16175,0.7900506249999999,0.0575
v2x_freexp_altinf,2006,2007 - 2008,42,0.007,0.98307,0.01
v2x_freexp_altinf,2006,2007 - 2008,51,0,0.9965,0.0035
v2x_freexp_altinf,2006,2007 - 2008,52,0,0.9995,5e-4
v2x_freexp_altinf,2006,2007 - 2008,53,0.001,0.9985005,5e-4
v2x_freexp_altinf,2006,2007 - 2008,70,0.0725,0.8848349999999999,0.046
v2x_freexp_altinf,2006,2007 - 2008,90,0.013,0.980091,0.007
v2x_freexp_altinf,2006,2007 - 2008,91,0.024,0.97112,0.005
v2x_freexp_altinf,2006,2007 - 2008,92,0.0305,0.9615824166666668,0.00816666666666666
v2x_freexp_altinf,2006,2007 - 2008,93,0.0735,0.6282442083333334,0.3219166666666667
v2x_freexp_altinf,2006,2007 - 2008,94,0,0.996,0.004
v2x_freexp_altinf,2006,2007 - 2008,95,0.0025,0.9925125,0.005
