outcome,from_year,for_years,gwcode,p_up,p_same,p_down
v2x_freexp_altinf,2005,2006 - 2007,2,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,20,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,40,0.016666666666666666,0.9811481481481481,0.0022222222222222222
v2x_freexp_altinf,2005,2006 - 2007,41,0.41888888888888887,0.5446302469135802,0.06277777777777778
v2x_freexp_altinf,2005,2006 - 2007,42,0.0022222222222222222,0.9922345679012345,0.005555555555555556
v2x_freexp_altinf,2005,2006 - 2007,51,0,0.9933333333333333,0.006666666666666667
v2x_freexp_altinf,2005,2006 - 2007,52,0,0.9966666666666667,0.0033333333333333335
v2x_freexp_altinf,2005,2006 - 2007,53,0.0033333333333333335,0.9955592592592594,0.0011111111111111111
v2x_freexp_altinf,2005,2006 - 2007,70,0.014444444444444444,0.9738748971193415,0.011851851851851851
v2x_freexp_altinf,2005,2006 - 2007,90,0.013333333333333334,0.9789925925925926,0.0077777777777777776
v2x_freexp_altinf,2005,2006 - 2007,91,0.0077777777777777776,0.9922222222222222,0
v2x_freexp_altinf,2005,2006 - 2007,92,0.01,0.9833999999999999,0.006666666666666667
v2x_freexp_altinf,2005,2006 - 2007,93,0.0044444444444444444,0.9900246913580247,0.005555555555555556
v2x_freexp_altinf,2005,2006 - 2007,94,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,95,0.0044444444444444444,0.9905777777777778,0.005
v2x_freexp_altinf,2005,2006 - 2007,100,0.05333333333333334,0.8743518518518519,0.0763888888888889
v2x_freexp_altinf,2005,2006 - 2007,101,0.24444444444444444,0.6780411522633745,0.10259259259259258
v2x_freexp_altinf,2005,2006 - 2007,110,0.011111111111111112,0.9855925925925927,0.0033333333333333335
v2x_freexp_altinf,2005,2006 - 2007,115,0.0044444444444444444,0.9900246913580247,0.005555555555555556
v2x_freexp_altinf,2005,2006 - 2007,130,0.03333333333333333,0.941425925925926,0.026111111111111113
v2x_freexp_altinf,2005,2006 - 2007,135,0,0.99,0.01
v2x_freexp_altinf,2005,2006 - 2007,140,0.0011111111111111111,0.9646306995884775,0.0342962962962963
v2x_freexp_altinf,2005,2006 - 2007,145,0.0044444444444444444,0.9778567901234567,0.017777777777777778
v2x_freexp_altinf,2005,2006 - 2007,150,0.03222222222222222,0.9527234567901234,0.015555555555555555
v2x_freexp_altinf,2005,2006 - 2007,155,0.0011111111111111111,0.9944493827160494,0.0044444444444444444
v2x_freexp_altinf,2005,2006 - 2007,160,0.0022222222222222222,0.9417913580246914,0.05611111111111111
v2x_freexp_altinf,2005,2006 - 2007,165,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,200,0,0.98,0.02
v2x_freexp_altinf,2005,2006 - 2007,205,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,210,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,211,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,212,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,220,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,225,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,230,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,235,0.0022222222222222222,0.9778222222222221,0.02
