outcome,from_year,for_years,gwcode,p_up,p_same,p_down
v2x_freexp_altinf,2005,2006 - 2007,2,0,0.999,0.001
v2x_freexp_altinf,2005,2006 - 2007,20,0.0015,0.99800075,5e-4
v2x_freexp_altinf,2005,2006 - 2007,40,0.009,0.991,0
v2x_freexp_altinf,2005,2006 - 2007,41,0.562,0.412158,0.059
v2x_freexp_altinf,2005,2006 - 2007,42,0.0135,0.97910125,0.0075
v2x_freexp_altinf,2005,2006 - 2007,51,5e-4,0.98400775,0.0155
v2x_freexp_altinf,2005,2006 - 2007,52,0,0.9915,0.0085
v2x_freexp_altinf,2005,2006 - 2007,53,0.003,0.9895225,0.0075
v2x_freexp_altinf,2005,2006 - 2007,70,0.017,0.9284435,0.0555
v2x_freexp_altinf,2005,2006 - 2007,90,0.0205,0.9667665,0.013
v2x_freexp_altinf,2005,2006 - 2007,91,0.0315,0.9617205,0.007
v2x_freexp_altinf,2005,2006 - 2007,92,0.0325,0.96121125,0.0065
v2x_freexp_altinf,2005,2006 - 2007,93,0.015,0.4688435833333333,0.5240166666666667
v2x_freexp_altinf,2005,2006 - 2007,94,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,95,0.0095,0.977375875,0.01325
v2x_freexp_altinf,2005,2006 - 2007,100,0.0605,0.813607,0.134
v2x_freexp_altinf,2005,2006 - 2007,101,0.237,0.60830175,0.20275
v2x_freexp_altinf,2005,2006 - 2007,110,0.1486666666666667,0.8428199999999999,0.01
v2x_freexp_altinf,2005,2006 - 2007,115,0.005,0.9845525,0.0105
v2x_freexp_altinf,2005,2006 - 2007,130,0.0425,0.94218,0.016
v2x_freexp_altinf,2005,2006 - 2007,135,0.004,0.98853,0.0075
v2x_freexp_altinf,2005,2006 - 2007,140,0.012,0.904514,0.0845
v2x_freexp_altinf,2005,2006 - 2007,145,0.2205,0.75650475,0.0295
v2x_freexp_altinf,2005,2006 - 2007,150,0.0265,0.940401,0.034
v2x_freexp_altinf,2005,2006 - 2007,155,0.0055,0.97461,0.02
v2x_freexp_altinf,2005,2006 - 2007,160,0.021,0.8438979999999999,0.138
v2x_freexp_altinf,2005,2006 - 2007,165,0,0.998,0.002
v2x_freexp_altinf,2005,2006 - 2007,200,0,0.9975,0.0025
v2x_freexp_altinf,2005,2006 - 2007,205,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,210,0,0.9995,5e-4
v2x_freexp_altinf,2005,2006 - 2007,211,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,212,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,220,0,0.9995,5e-4
v2x_freexp_altinf,2005,2006 - 2007,225,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,230,0,0.999,0.001
v2x_freexp_altinf,2005,2006 - 2007,235,0,0.981,0.019
