outcome,from_year,for_years,gwcode,p_up,p_same,p_down
v2x_freexp_altinf,2005,2006 - 2007,2,0.002,0.998,0
v2x_freexp_altinf,2005,2006 - 2007,20,0,0.999,0.001
v2x_freexp_altinf,2005,2006 - 2007,40,0.02,0.97216,0.008
v2x_freexp_altinf,2005,2006 - 2007,41,0.477,0.494758,0.054
v2x_freexp_altinf,2005,2006 - 2007,42,0.005,0.99301,0.002
v2x_freexp_altinf,2005,2006 - 2007,51,0.001,0.988677,0.01033333333333333
v2x_freexp_altinf,2005,2006 - 2007,52,0.002,0.99301,0.005
v2x_freexp_altinf,2005,2006 - 2007,53,0.003,0.997,0
v2x_freexp_altinf,2005,2006 - 2007,70,0.01575,0.97145475,0.013
v2x_freexp_altinf,2005,2006 - 2007,90,0.01,0.98901,0.001
v2x_freexp_altinf,2005,2006 - 2007,91,0.014,0.985014,0.001
v2x_freexp_altinf,2005,2006 - 2007,92,0.021,0.975084,0.004
v2x_freexp_altinf,2005,2006 - 2007,93,0.006,0.987042,0.007
v2x_freexp_altinf,2005,2006 - 2007,94,0,0.999,0.001
v2x_freexp_altinf,2005,2006 - 2007,95,0.014,0.97596745,0.010175
v2x_freexp_altinf,2005,2006 - 2007,100,0.037,0.930258,0.034
v2x_freexp_altinf,2005,2006 - 2007,101,0.2555,0.6678164999999999,0.103
v2x_freexp_altinf,2005,2006 - 2007,110,0.0085,0.987534,0.004
v2x_freexp_altinf,2005,2006 - 2007,115,0.00875,0.98629375,0.005
v2x_freexp_altinf,2005,2006 - 2007,130,0.0116,0.9701146,0.0185
v2x_freexp_altinf,2005,2006 - 2007,135,0.002,0.9943406666666668,0.00366666666666666
v2x_freexp_altinf,2005,2006 - 2007,140,0.009,0.9478915,0.0435
v2x_freexp_altinf,2005,2006 - 2007,145,0.195,0.7872899999999999,0.022
v2x_freexp_altinf,2005,2006 - 2007,150,0.0144,0.9619456,0.024
v2x_freexp_altinf,2005,2006 - 2007,155,0,0.988,0.012
v2x_freexp_altinf,2005,2006 - 2007,160,0.018,0.9354368333333332,0.04741666666666666
v2x_freexp_altinf,2005,2006 - 2007,165,0.001,0.998001,0.001
v2x_freexp_altinf,2005,2006 - 2007,200,0,0.995,0.005
v2x_freexp_altinf,2005,2006 - 2007,205,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,210,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,211,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,212,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,220,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,225,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,230,0,0.9996666666666668,3.333333333333333e-4
v2x_freexp_altinf,2005,2006 - 2007,235,0,0.997,0.003
v2x_freexp_altinf,2005,2006 - 2007,260,0,0.9918333333333332,0.00816666666666666
v2x_freexp_altinf,2005,2006 - 2007,290,0.001,0.96711525,0.03191666666666667
v2x_freexp_altinf,2005,2006 - 2007,305,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,310,0.002,0.997002,0.001
v2x_freexp_altinf,2005,2006 - 2007,316,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,317,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,325,0.002,0.995006,0.003
v2x_freexp_altinf,2005,2006 - 2007,339,0.055,0.923265,0.023
v2x_freexp_altinf,2005,2006 - 2007,343,0.071,0.902059,0.029
v2x_freexp_altinf,2005,2006 - 2007,344,0.013,0.974169,0.013
v2x_freexp_altinf,2005,2006 - 2007,345,0.027,0.96327,0.01
v2x_freexp_altinf,2005,2006 - 2007,346,0.026,0.971078,0.003
v2x_freexp_altinf,2005,2006 - 2007,349,0.005,0.994005,0.001
v2x_freexp_altinf,2005,2006 - 2007,350,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,352,0.009,0.990009,0.001
v2x_freexp_altinf,2005,2006 - 2007,355,0.002,0.967062,0.031
v2x_freexp_altinf,2005,2006 - 2007,359,0.055,0.9072,0.04
v2x_freexp_altinf,2005,2006 - 2007,360,0.32325,0.6007396958333333,0.11231666666666668
v2x_freexp_altinf,2005,2006 - 2007,365,0.079,0.869424,0.056
v2x_freexp_altinf,2005,2006 - 2007,366,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,367,0.001,0.998001,0.001
v2x_freexp_altinf,2005,2006 - 2007,368,0.001,0.998001,0.001
v2x_freexp_altinf,2005,2006 - 2007,369,0.22975,0.6013726875000001,0.21925
v2x_freexp_altinf,2005,2006 - 2007,370,0.05966666666666667,0.9158846666666668,0.026
v2x_freexp_altinf,2005,2006 - 2007,371,0.047,0.9401345,0.0135
v2x_freexp_altinf,2005,2006 - 2007,372,0.089,0.8906543333333333,0.02233333333333333
v2x_freexp_altinf,2005,2006 - 2007,373,0.059,0.937236,0.004
v2x_freexp_altinf,2005,2006 - 2007,375,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,380,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,385,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,390,0,1,0
