outcome,from_year,for_years,gwcode,p_up,p_same,p_down
v2x_freexp_altinf,2005,2006 - 2007,2,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,20,0,0.998,0.002
v2x_freexp_altinf,2005,2006 - 2007,40,0.02,0.98,0
v2x_freexp_altinf,2005,2006 - 2007,41,0.502,0.469116,0.058
v2x_freexp_altinf,2005,2006 - 2007,42,0.003,0.994009,0.003
v2x_freexp_altinf,2005,2006 - 2007,51,0,0.991,0.009
v2x_freexp_altinf,2005,2006 - 2007,52,0.002,0.995006,0.003
v2x_freexp_altinf,2005,2006 - 2007,53,0.002,0.998,0
v2x_freexp_altinf,2005,2006 - 2007,70,0.013,0.974169,0.013
v2x_freexp_altinf,2005,2006 - 2007,90,0.014,0.982056,0.004
v2x_freexp_altinf,2005,2006 - 2007,91,0.011,0.982077,0.007
v2x_freexp_altinf,2005,2006 - 2007,92,0.027,0.972027,0.001
v2x_freexp_altinf,2005,2006 - 2007,93,0.011,0.983066,0.006
v2x_freexp_altinf,2005,2006 - 2007,94,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,95,0.004,0.980313,0.01575
v2x_freexp_altinf,2005,2006 - 2007,100,0.029,0.939928,0.032
v2x_freexp_altinf,2005,2006 - 2007,101,0.2425,0.67480625,0.10916666666666668
v2x_freexp_altinf,2005,2006 - 2007,110,0.013,0.984039,0.003
v2x_freexp_altinf,2005,2006 - 2007,115,0.003,0.992015,0.005
v2x_freexp_altinf,2005,2006 - 2007,130,0.018,0.9689885,0.01325
v2x_freexp_altinf,2005,2006 - 2007,135,0.004,0.989028,0.007
v2x_freexp_altinf,2005,2006 - 2007,140,0.003,0.963102,0.034
v2x_freexp_altinf,2005,2006 - 2007,145,0.18433333333333335,0.7969063333333333,0.023
v2x_freexp_altinf,2005,2006 - 2007,150,0.023,0.94769,0.03
v2x_freexp_altinf,2005,2006 - 2007,155,0,0.988,0.012
v2x_freexp_altinf,2005,2006 - 2007,160,0.02,0.92806,0.053
v2x_freexp_altinf,2005,2006 - 2007,165,0,0.998,0.002
v2x_freexp_altinf,2005,2006 - 2007,200,0,0.996,0.004
v2x_freexp_altinf,2005,2006 - 2007,205,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,210,0.001,0.997002,0.002
v2x_freexp_altinf,2005,2006 - 2007,211,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,212,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,220,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,225,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,230,0,0.998,0.002
v2x_freexp_altinf,2005,2006 - 2007,235,0,0.995,0.005
v2x_freexp_altinf,2005,2006 - 2007,260,0,0.992,0.008
v2x_freexp_altinf,2005,2006 - 2007,290,0.001,0.97902,0.02
v2x_freexp_altinf,2005,2006 - 2007,305,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,310,0.002,0.998,0
v2x_freexp_altinf,2005,2006 - 2007,316,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,317,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,325,0.006,0.991018,0.003
v2x_freexp_altinf,2005,2006 - 2007,339,0.03633333333333333,0.9313838333333334,0.0335
v2x_freexp_altinf,2005,2006 - 2007,343,0.068,0.9003119999999999,0.034
v2x_freexp_altinf,2005,2006 - 2007,344,0.007,0.977112,0.016
v2x_freexp_altinf,2005,2006 - 2007,345,0.03166666666666667,0.9625233333333334,0.006
v2x_freexp_altinf,2005,2006 - 2007,346,0.023,0.973092,0.004
v2x_freexp_altinf,2005,2006 - 2007,349,0.001,0.998001,0.001
v2x_freexp_altinf,2005,2006 - 2007,350,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,352,0.009,0.988027,0.003
v2x_freexp_altinf,2005,2006 - 2007,355,0.006,0.96915,0.025
v2x_freexp_altinf,2005,2006 - 2007,359,0.05389999999999999,0.9110943,0.037
v2x_freexp_altinf,2005,2006 - 2007,360,0.283,0.6456585,0.0995
v2x_freexp_altinf,2005,2006 - 2007,365,0.09725,0.8537005833333333,0.05433333333333334
v2x_freexp_altinf,2005,2006 - 2007,366,0.001,0.999,0
v2x_freexp_altinf,2005,2006 - 2007,367,0.001,0.999,0
v2x_freexp_altinf,2005,2006 - 2007,368,0,0.999,0.001
v2x_freexp_altinf,2005,2006 - 2007,369,0.184,0.641036,0.21441666666666664
v2x_freexp_altinf,2005,2006 - 2007,370,0.05275,0.9301995,0.018
v2x_freexp_altinf,2005,2006 - 2007,371,0.024,0.9653453333333332,0.01091666666666666
v2x_freexp_altinf,2005,2006 - 2007,372,0.071,0.8950915,0.0365
v2x_freexp_altinf,2005,2006 - 2007,373,0.055,0.93744,0.008
v2x_freexp_altinf,2005,2006 - 2007,375,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,380,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,385,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,390,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,395,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,402,0.004,0.996,0
v2x_freexp_altinf,2005,2006 - 2007,404,0.048,0.942004,0.0105
v2x_freexp_altinf,2005,2006 - 2007,411,0.013,0.986013,0.001
v2x_freexp_altinf,2005,2006 - 2007,420,0.01,0.98802,0.002
v2x_freexp_altinf,2005,2006 - 2007,432,0.005,0.990025,0.005
