id,outcome,year
1,v2x_freexp_altinf,2005
2,v2x_freexp_altinf,2023
3,v2x_horacc_osp,2016
4,v2x_horacc_osp,2007
5,v2x_pubcorr,2009
6,v2x_horacc_osp,2019
7,v2x_freexp_altinf,2016
8,v2xcl_rol,2007
9,v2x_veracc_osp,2005
10,v2x_veracc_osp,2017
11,v2x_veracc_osp,2008
12,v2x_horacc_osp,2014
13,v2x_freexp_altinf,2021
14,v2xcl_rol,2021
15,v2xcl_rol,2012
16,v2xcs_ccsi,2023
17,v2xcl_rol,2005
18,v2xcl_rol,2022
19,v2xcs_ccsi,2019
20,v2x_horacc_osp,2022
21,v2x_freexp_altinf,2015
22,v2x_pubcorr,2022
23,v2xcs_ccsi,2007
24,v2xcs_ccsi,2016
25,v2x_veracc_osp,2010
26,v2xcl_rol,2008
27,v2xcs_ccsi,2021
28,v2xcs_ccsi,2012
29,v2x_horacc_osp,2006
30,v2x_freexp_altinf,2014
31,v2xcl_rol,2018
32,v2x_freexp_altinf,2011
33,v2x_veracc_osp,2006
34,v2x_veracc_osp,2021
35,v2x_pubcorr,2021
36,v2x_pubcorr,2010
37,v2xcs_ccsi,2006
38,v2x_veracc_osp,2022
39,v2xcl_rol,2019
40,v2xcs_ccsi,2013
41,v2x_pubcorr,2013
42,v2x_horacc_osp,2009
43,v2xcs_ccsi,2014
44,v2x_freexp_altinf,2020
45,v2xcl_rol,2009
46,v2x_veracc_osp,2013
47,v2x_freexp_altinf,2022
48,v2x_pubcorr,2019
49,v2x_pubcorr,2015
50,v2xcl_rol,2010
51,v2x_pubcorr,2018
52,v2x_pubcorr,2014
53,v2x_pubcorr,2020
54,v2x_veracc_osp,2011
55,v2x_veracc_osp,2007
56,v2xcs_ccsi,2008
57,v2xcs_ccsi,2010
58,v2x_horacc_osp,2011
59,v2xcl_rol,2013
60,v2x_pubcorr,2016
61,v2x_pubcorr,2005
62,v2xcs_ccsi,2011
63,v2x_veracc_osp,2019
64,v2x_veracc_osp,2023
65,v2x_horacc_osp,2018
66,v2x_freexp_altinf,2007
67,v2x_veracc_osp,2014
68,v2xcl_rol,2017
69,v2x_veracc_osp,2009
70,v2x_freexp_altinf,2006
71,v2x_freexp_altinf,2009
72,v2x_horacc_osp,2015
73,v2x_veracc_osp,2016
74,v2x_freexp_altinf,2008
75,v2x_veracc_osp,2012
76,v2x_veracc_osp,2018
77,v2x_freexp_altinf,2010
78,v2x_horacc_osp,2005
79,v2x_horacc_osp,2013
80,v2xcl_rol,2015
81,v2x_freexp_altinf,2018
82,v2x_pubcorr,2011
83,v2x_pubcorr,2006
84,v2x_freexp_altinf,2019
85,v2x_pubcorr,2023
86,v2xcl_rol,2016
87,v2x_horacc_osp,2012
88,v2xcl_rol,2006
89,v2x_veracc_osp,2020
90,v2xcs_ccsi,2005
91,v2x_freexp_altinf,2017
92,v2xcs_ccsi,2015
93,v2xcs_ccsi,2022
94,v2xcs_ccsi,2018
95,v2xcl_rol,2023
96,v2x_horacc_osp,2017
97,v2x_horacc_osp,2010
98,v2x_pubcorr,2007
99,v2xcs_ccsi,2020
100,v2x_horacc_osp,2008
101,v2x_veracc_osp,2015
102,v2xcl_rol,2020
103,v2x_pubcorr,2012
104,v2x_freexp_altinf,2012
105,v2x_horacc_osp,2023
106,v2x_pubcorr,2008
107,v2x_freexp_altinf,2013
108,v2xcs_ccsi,2009
109,v2xcl_rol,2011
110,v2x_horacc_osp,2021
111,v2xcs_ccsi,2017
112,v2x_pubcorr,2017
113,v2x_horacc_osp,2020
114,v2xcl_rol,2014
