id,outcome,year
1,v2x_horacc_osp,2014
2,v2x_pubcorr,2013
3,v2xcs_ccsi,2016
4,v2x_freexp_altinf,2011
5,v2x_veracc_osp,2016
6,v2x_freexp_altinf,2017
7,v2xcs_ccsi,2008
8,v2x_freexp_altinf,2021
9,v2x_veracc_osp,2014
10,v2xcl_rol,2014
11,v2x_pubcorr,2020
12,v2x_pubcorr,2015
13,v2x_veracc_osp,2007
14,v2x_freexp_altinf,2005
15,v2x_pubcorr,2019
16,v2xcs_ccsi,2007
17,v2xcs_ccsi,2019
18,v2xcl_rol,2007
19,v2xcl_rol,2009
20,v2x_veracc_osp,2010
21,v2x_veracc_osp,2019
22,v2x_horacc_osp,2017
23,v2x_pubcorr,2008
24,v2x_horacc_osp,2011
25,v2x_pubcorr,2006
26,v2x_freexp_altinf,2007
27,v2x_pubcorr,2007
28,v2xcl_rol,2021
29,v2x_pubcorr,2017
30,v2xcs_ccsi,2012
31,v2x_pubcorr,2012
32,v2xcs_ccsi,2010
33,v2xcs_ccsi,2015
34,v2x_veracc_osp,2017
35,v2xcl_rol,2005
36,v2xcl_rol,2008
37,v2x_freexp_altinf,2018
38,v2xcs_ccsi,2006
39,v2x_horacc_osp,2016
40,v2x_pubcorr,2011
41,v2x_horacc_osp,2012
42,v2xcl_rol,2017
43,v2x_horacc_osp,2009
44,v2xcs_ccsi,2013
45,v2x_freexp_altinf,2014
46,v2x_pubcorr,2018
47,v2x_veracc_osp,2018
48,v2xcs_ccsi,2020
49,v2xcs_ccsi,2014
50,v2x_veracc_osp,2008
51,v2x_freexp_altinf,2010
52,v2xcl_rol,2010
53,v2x_pubcorr,2021
54,v2x_freexp_altinf,2013
55,v2x_pubcorr,2005
56,v2xcl_rol,2020
57,v2x_veracc_osp,2015
58,v2x_pubcorr,2016
59,v2x_freexp_altinf,2016
60,v2x_horacc_osp,2015
61,v2xcs_ccsi,2021
62,v2xcs_ccsi,2017
63,v2x_freexp_altinf,2012
64,v2x_veracc_osp,2021
65,v2x_horacc_osp,2006
66,v2xcl_rol,2006
67,v2xcs_ccsi,2011
68,v2x_pubcorr,2014
69,v2x_veracc_osp,2011
70,v2x_freexp_altinf,2015
71,v2x_freexp_altinf,2009
72,v2xcs_ccsi,2018
73,v2xcl_rol,2016
74,v2x_veracc_osp,2013
75,v2x_horacc_osp,2019
76,v2x_veracc_osp,2020
77,v2x_horacc_osp,2021
78,v2x_freexp_altinf,2020
79,v2x_freexp_altinf,2008
80,v2x_pubcorr,2010
81,v2x_horacc_osp,2010
82,v2x_horacc_osp,2020
83,v2x_veracc_osp,2012
84,v2x_horacc_osp,2008
85,v2xcl_rol,2011
86,v2x_veracc_osp,2006
87,v2xcl_rol,2019
88,v2x_freexp_altinf,2006
89,v2x_veracc_osp,2009
90,v2xcl_rol,2013
91,v2x_pubcorr,2009
92,v2x_freexp_altinf,2019
93,v2xcl_rol,2015
94,v2xcs_ccsi,2005
95,v2x_horacc_osp,2005
96,v2x_veracc_osp,2005
97,v2x_horacc_osp,2013
98,v2x_horacc_osp,2018
99,v2xcs_ccsi,2009
100,v2xcl_rol,2018
101,v2xcl_rol,2012
102,v2x_horacc_osp,2007
