mg_id,indicator,direction,model,hp_set_id,num_iterations,learning_rate,num_leaves,min_data_in_leaf,bagging_freq,bagging_fraction,feature_fraction,lambda_l1,lambda_l2,cv_pos_rate,cv_brier,cv_log_loss,cv_auc_roc,cv_auc_pr,test_pos_rate,test_brier,test_log_loss,test_auc_roc,test_auc_pr,time
1,v2x_veracc_osp,up,lightgbm,run-03_lightgbm_hp-01,28,0.11018586823251098,69,22,0,1,0.8153025626670569,0,0.16984800808131695,0.07945736434108527,3.570792214261594,0.16121186716793856,0.9332862644415918,0.5558945879861579,0.03451676528599606,3.7539115278063,0.15326779379956842,0.7565445790164891,0.0673560603312704,1.0230000000001382
2,v2x_veracc_osp,up,lightgbm,run-03_lightgbm_hp-02,126,0.7084732168680057,49,23,1,0.6238017603754997,0.9745195359922946,0,0,0.07945736434108527,3.64416308546274,0.43676914874144074,0.9323620025673941,0.5955561880840572,0.03451676528599606,3.830680462824011,0.5009458285558114,0.7334306143294907,0.05995313517146193,2.615000000000009
3,v2x_veracc_osp,up,lightgbm,run-03_lightgbm_hp-03,155,0.42338755969889463,53,45,0,1,0.9065967427100986,0,0.6376209673471749,0.07945736434108527,3.636617504296262,0.22882871650168135,0.9501412066752246,0.6344413164036619,0.03451676528599606,3.843689347812284,0.29526756556633843,0.7372829417773238,0.0630412413949048,3.131000000000313
4,v2x_veracc_osp,up,lightgbm,run-03_lightgbm_hp-04,110,0.27576867894735185,40,32,1,0.6719518592581153,0.8906594831030816,0,0,0.07945736434108527,3.6322189680975425,0.2362199364347861,0.9523491655969192,0.6132548199014163,0.03451676528599606,3.856492327209354,0.2593188680192716,0.7817014446227929,0.0801042192170881,2.5230000000001382
5,v2x_veracc_osp,up,lightgbm,run-03_lightgbm_hp-05,40,0.6798765711369924,26,40,0,1,0.973897622898221,0.660822179634124,0.1520197349600494,0.07945736434108527,3.612046965833126,0.20373711965647376,0.9241655969191271,0.5640503531719,0.03451676528599606,3.813452514447564,0.20920167721408686,0.760776302349336,0.09289706209488313,0.9259999999999309
6,v2x_veracc_osp,up,lightgbm,run-03_lightgbm_hp-06,173,0.018414467074908316,33,19,0,1,0.8330463556572796,0.602589116897434,0.9846163080073893,0.07945736434108527,3.53371336045108,0.17725190836545823,0.9173170731707317,0.4694801556810239,0.03451676528599606,3.725698794704566,0.14524717275549368,0.7584707427404057,0.070385565049269,4.148000000000138
7,v2x_veracc_osp,up,lightgbm,run-03_lightgbm_hp-07,154,0.5669557719375007,45,32,2,0.6800977539271116,0.8326386283617467,0,0.8715476365759969,0.07945736434108527,3.6391498925669263,0.227812952481454,0.9578305519897304,0.6553456666903382,0.03451676528599606,3.823433924108518,0.27923156116550935,0.7495987158908507,0.06913198715478718,2.303000000000111
8,v2x_veracc_osp,up,lightgbm,run-03_lightgbm_hp-08,69,0.4186318121966906,70,10,0,1,0.8631931500509382,0,0.7457917958963662,0.07945736434108527,3.642803563475675,0.21183818476217806,0.9451476251604621,0.6069305093854469,0.03451676528599606,3.840919393836938,0.26910824844130293,0.7101999124471035,0.05644767869715787,1.8969999999999345
9,v2x_veracc_osp,up,lightgbm,run-03_lightgbm_hp-09,115,0.4539726172457449,17,43,5,0.6714075141586363,0.9101138557773084,0,0,0.07945736434108527,3.619786041161251,0.22982944117918566,0.9253273427471117,0.5831869233816452,0.03451676528599606,3.8158354806356605,0.2648400828449101,0.7664964249233912,0.08077435582474177,1.4179999999996653
10,v2x_veracc_osp,up,lightgbm,run-03_lightgbm_hp-10,43,0.6013203244446776,34,19,0,1,0.8851034682709724,0,0.1064110656734556,0.07945736434108527,3.6237199645232776,0.220508650345688,0.9463286264441592,0.6066823376294523,0.03451676528599606,3.805327012792947,0.2529755944610845,0.7311250547205603,0.07476527624288828,0.9819999999999709
