mg_id,indicator,direction,model,hp_set_id,nrounds,eta,gamma,max_depth,min_child_weight,max_delta_step,subsample,colsample_bytree,colsample_bylevel,colsample_bynode,lambda,alpha,cv_pos_rate,cv_brier,cv_log_loss,cv_auc_roc,cv_auc_pr,test_pos_rate,test_brier,test_log_loss,test_auc_roc,test_auc_pr,time
1,v2x_veracc_osp,up,xgboost,run-07_xgboost_hp-01,184,0.6939680392388254,0.6624684114940464,9,0.7505374861648306,0,0.5400715350406244,1,1,0.8140137944137678,2.2002464127726853,2.992752624442801,0.0872093023255814,3.561280303938377,0.18086046991062307,0.9366595895258316,0.5918149821681992,0.03451676528599606,3.7627295505615086,0.20273232266359084,0.7379541806508099,0.07894360336514564,16.57299999999998
2,v2x_veracc_osp,up,xgboost,run-07_xgboost_hp-02,103,0.9882689551450312,0.577944383956492,7,0.9530175421386957,0.29554898268543184,0.8991108251502737,0.7929844183381647,1,0.8518350861268118,1.4071296479087323,0,0.0872093023255814,3.5695789954591337,0.17619421007668035,0.9528072658645907,0.570254983912395,0.03451676528599606,3.8276937229741805,0.19866155318983514,0.7772362468991683,0.07141914934183242,7.9409999999998035
3,v2x_veracc_osp,up,xgboost,run-07_xgboost_hp-03,190,0.24484358681365848,0.37977028195746243,14,4.782724142540246,2.8845869132783264,0.9376887701218948,0.6721934353699908,0.7672643074765801,1,2.208167888224125,2.1564316840376705,0.0872093023255814,3.55727411561737,0.16388637916427215,0.9521939136588818,0.5666681393670471,0.03451676528599606,3.809070446575876,0.17528261991219335,0.7377498905588793,0.06612736698866944,10.750999999999976
4,v2x_veracc_osp,up,xgboost,run-07_xgboost_hp-04,126,0.9886607178486884,0.9735402639489621,12,3.3794347355142236,0,0.5330775614129379,1,1,1,1.4137606483418494,0,0.0872093023255814,3.5608364138819755,0.28324786182607836,0.9304435008256664,0.5166603671233374,0.03451676528599606,3.7320304078981916,0.336073397370584,0.7839778199328761,0.08629663708363366,9.654999999999745
5,v2x_veracc_osp,up,xgboost,run-07_xgboost_hp-05,104,0.0724632772617042,0,6,0.9228935563005507,0.5119690869469196,0.9248787080869079,0.5960754742845893,0.5575107714394107,1,1.9336431501433253,0,0.0872093023255814,3.445457157243227,0.2049648467307553,0.9081033262561925,0.44760396926519436,0.03451676528599606,3.689784993155808,0.14760008663388374,0.7440245148110316,0.06464156947265709,4.021000000000001
6,v2x_veracc_osp,up,xgboost,run-07_xgboost_hp-06,63,0.7918105963617563,0.37977028195746243,9,2.241549299680628,0,0.8861109154531732,1,0.6185071027139202,1,0.7909135648515075,0.6980649910401553,0.0872093023255814,3.5749041342814065,0.20347714075377998,0.9412597310686484,0.5648832591437684,0.03451676528599606,3.7869666395558412,0.22405560542851102,0.723799795709908,0.06210593390689325,4.332999999999856
7,v2x_veracc_osp,up,xgboost,run-07_xgboost_hp-07,98,0.18209208943881094,0.8219061559066176,4,2.8567470248090103,0,1,0.5392580954357982,0.5603128424845636,0.5662084120558575,1.0432828443590552,0,0.0872093023255814,3.493076319699857,0.18018743853267188,0.9271526303373437,0.4867720246886623,0.03451676528599606,3.746887349110793,0.1499778924498472,0.7476433678680869,0.06862846798072965,1.41599999999994
8,v2x_veracc_osp,up,xgboost,run-07_xgboost_hp-08,12,0.6534820275846869,0,5,3.2771674764808267,2.5037677912041545,0.8685691674472764,0.8340052082203329,1,0.9132695294683799,0.10945759154856205,0.4499174002557993,0.0872093023255814,3.473900820354065,0.198093309685779,0.9079558858221278,0.45352008499695123,0.03451676528599606,3.7162683045779588,0.1637928885892748,0.7483437910404203,0.06956176222283793,0.9209999999998217
9,v2x_veracc_osp,up,xgboost,run-07_xgboost_hp-09,59,0.8331835679709911,0.8493869428057224,7,1.9444844567915425,1.8987560109235346,1,1,1,0.7552579899784178,1,0,0.0872093023255814,3.5726935951584413,0.16729273599220704,0.9523649445623968,0.622763122473733,0.03451676528599606,3.7782018785434124,0.21416237679660285,0.7752517145775573,0.0773294034451237,4.769000000000233
10,v2x_veracc_osp,up,xgboost,run-07_xgboost_hp-10,175,0.21279931743629277,0.2539150121156126,3,2.461655843188055,2.2387093503493816,0.9248787080869079,1,0.7672643074765801,0.5401993360137567,1.1888053372967988,1.5518245473504066,0.0872093023255814,3.503702410373327,0.17170945209934727,0.9379688605803256,0.5156761411241805,0.03451676528599606,3.7401952732171333,0.15062776887408807,0.7683350357507661,0.06904111778078942,4.1479999999996835
11,v2x_veracc_osp,up,xgboost,run-07_xgboost_hp-11,191,0.7715733549557626,0.2539150121156126,15,2.723797363927588,3.0281552160158753,0.8685691674472764,0.6963522231671959,1,0.8518350861268118,1.677502550650388,2.393099453765899,0.0872093023255814,3.5662316514057313,0.17187901273494627,0.9532672800188724,0.5974742093920075,0.03451676528599606,3.789974168658232,0.20371652193795928,0.7493068729023785,0.07081982142625065,9.9659999999998945
12,v2x_veracc_osp,up,xgboost,run-07_xgboost_hp-12,38,0.8204738539643586,0,11,3.3890375749906525,0,0.5523275785380974,0.7832826960366219,1,0.5997867723926902,0.7081405848730356,2.1564316840376705,0.0872093023255814,3.522028911212315,0.23622945055057035,0.9115947157348432,0.44087685407837107,0.03451676528599606,3.7572084528732015,0.21194711793630602,0.7066977965854371,0.06240982936021823,1.9420000000000073
13,v2x_veracc_osp,up,xgboost,run-07_xgboost_hp-13,177,0.7717042504809797,0.225976632675156,7,1.6686626946320757,0,0.521718438132666,0.6458860457642004,1,1,1,0.4499174002557993,0.0872093023255814,3.5646496656710336,0.25842870804721957,0.930066053314461,0.5265246902725342,0.03451676528599606,3.8064560612567044,0.2677578731292844,0.7235371370202831,0.06669575307479764,9.161000000000058
14,v2x_veracc_osp,up,xgboost,run-07_xgboost_hp-14,31,0.31165325944311917,0,15,2.462921242346056,0,0.5891639337642118,0.538083594175987,1,0.6755678342888132,1.7081504550296813,1.5518245473504066,0.0872093023255814,3.5158760613217583,0.17885101303969328,0.9301309271054494,0.5033015199929685,0.03451676528599606,3.7431072236154335,0.15445691406152665,0.7629505326134539,0.07542707631596023,1.7560000000003129
15,v2x_veracc_osp,up,xgboost,run-07_xgboost_hp-15,155,0.7895841852296144,0.4276058266405016,12,4.4991023080656305,3.880092315375805,0.6925446819514036,1,0.7287417050683871,0.8518350861268118,0.4859105811920017,0.49598343623802066,0.0872093023255814,3.5786548393095075,0.189463576115661,0.9491389478650625,0.5983581639239229,0.03451676528599606,3.80372878916029,0.2528682243071332,0.725375747847658,0.08407425222104838,7.949000000000069
16,v2x_veracc_osp,up,xgboost,run-07_xgboost_hp-16,59,0.27761971950531006,0,5,2.1140731965424493,2.8098031552508473,0.6535016922280192,0.5080676388461143,1,0.8666706733638421,1,0.2486083349213004,0.0872093023255814,3.524521601802408,0.16812188567930053,0.9425041283321538,0.5370776733205027,0.03451676528599606,3.780438376699235,0.1399729184312455,0.8173354735152488,0.0923191829634609,2.2799999999999727
17,v2x_veracc_osp,up,xgboost,run-07_xgboost_hp-17,177,0.6136500954162329,0.8752642376348376,9,4.589177689747885,2.2885600570589304,0.521718438132666,0.7047843004111201,0.5243754598777741,0.9398802464129403,1,2.1564316840376705,0.0872093023255814,3.5553435231033363,0.18166315140313502,0.936966265628686,0.5965844819079378,0.03451676528599606,3.7751748309017783,0.21218685868092851,0.7090033561943674,0.06671609165442172,5.861
18,v2x_veracc_osp,up,xgboost,run-07_xgboost_hp-18,60,0.7115250283386558,0,11,0.9657338814577088,0,0.8991108251502737,0.6831259267637506,1,0.5662084120558575,1.9336431501433253,2.992752624442801,0.0872093023255814,3.5631216496286533,0.163750333657645,0.9542226940316112,0.5998779143566862,0.03451676528599606,3.8027458479378873,0.18604787762831154,0.7631256384065372,0.06807098530695671,3.116999999999962
19,v2x_veracc_osp,up,xgboost,run-07_xgboost_hp-19,198,0.20870088995434344,0.4650961230508983,9,1.355288922903128,0,0.8373214239254594,0.9371480484260246,0.7070133980596438,1,2.171141549013555,0,0.0872093023255814,3.581418560211627,0.16213503953196592,0.957997169143666,0.6006280233497749,0.03451676528599606,3.820890724345495,0.18875578544235794,0.7360280169268933,0.0645975046929768,16.157000000000153
