mg_id,indicator,direction,model,hp_set_id,lambda_l1,lambda_l2,eta,nrounds,cv_pos_rate,cv_brier,cv_log_loss,cv_auc_roc,cv_auc_pr,test_pos_rate,test_brier,test_log_loss,test_auc_roc,test_auc_pr,time
1,v2x_veracc_osp,up,lightgbm_default,run-11_lightgbm_default,NA,NA,NA,NA,0.08527131782945736,3.6046849133422163,0.1617891316459346,0.9462273690292758,0.6416791276901499,0.03451676528599606,3.7998627257472726,0.1612400185949475,0.7570115277980446,0.07640262476039254,2.867999999999995
2,v2x_veracc_osp,up,lightgbm_default,run-11_lightgbm_default,NA,NA,NA,NA,0.09302325581395349,3.5781246169719716,0.18444028292257367,0.9457131410256411,0.597833069093123,0.03451676528599606,3.816065870925523,0.16577920700313067,0.7472639719830731,0.07397381874722829,2.5860000000000127
3,v2x_veracc_osp,up,lightgbm_default,run-11_lightgbm_default,NA,NA,NA,NA,0.08430232558139535,3.5772350887423983,0.15180449336865562,0.9524539317642766,0.6069356061404582,0.03451676528599606,3.8037351323658957,0.15069998694532294,0.7979862833795418,0.09043686790646385,2.901999999999987
4,v2x_veracc_osp,up,lightgbm_default,run-11_lightgbm_default,NA,NA,NA,NA,0.08826382153249272,3.566367085732678,0.18215170497350838,0.9369300911854104,0.5443265807626184,0.03451676528599606,3.7934046387862663,0.15862713973770418,0.786341748139501,0.08012834518220392,2.95799999999997
5,v2x_veracc_osp,up,lightgbm_default,run-11_lightgbm_default,NA,NA,NA,NA,0.0921435499515034,3.5558597915291807,0.1810477766315466,0.9412393162393162,0.5877879544030792,0.03451676528599606,3.7978412211304535,0.16242735881849332,0.795359696483292,0.0817346309472078,2.41700000000003
6,v2x_veracc_osp,up,xgboost_default,run-11_xgboost_default,NA,NA,NA,NA,0.08527131782945736,3.6354901665703236,0.16149034304853768,0.9586623651771957,0.7035518921618782,0.03451676528599606,3.818945979883423,0.19111603805668223,0.7708740697504742,0.06859313395488635,10.375
7,v2x_veracc_osp,up,xgboost_default,run-11_xgboost_default,NA,NA,NA,NA,0.09302325581395349,3.5897310256040473,0.21554840864712801,0.9417846331908832,0.575035226888917,0.03451676528599606,3.828475283485236,0.19830540780717218,0.772829417773238,0.07736211431610836,9.855999999999995
8,v2x_veracc_osp,up,xgboost_default,run-11_xgboost_default,NA,NA,NA,NA,0.08430232558139535,3.60206089887125,0.15488255521571914,0.9527093596059113,0.6668389446296664,0.03451676528599606,3.813452141684837,0.2017792715278922,0.733459798628338,0.06237378248324784,10.598000000000013
9,v2x_veracc_osp,up,xgboost_default,run-11_xgboost_default,NA,NA,NA,NA,0.08826382153249272,3.5838798409932515,0.21181798779499533,0.9368248772504092,0.5338249848606049,0.03451676528599606,3.8141286257602087,0.1964403456987266,0.7604260907631694,0.0689480509180371,9.201999999999998
10,v2x_veracc_osp,up,xgboost_default,run-11_xgboost_default,NA,NA,NA,NA,0.0921435499515034,3.5741003470508503,0.2014245916615856,0.946221322537112,0.5709279840486562,0.03451676528599606,3.7973522665069117,0.20048188675909628,0.758791770027725,0.06791554215798454,10.992999999999995
11,v2x_veracc_osp,up,ranger_2022,run-11_ranger_2022,NA,NA,NA,NA,0.08527131782945736,3.5449872565004887,0.13828230837032263,0.962502407550077,0.6781620233911082,0.03451676528599606,3.6070848825919426,0.16011897377205875,0.7387567488691084,0.06435310888122885,50.59800000000001
12,v2x_veracc_osp,up,ranger_2022,run-11_ranger_2022,NA,NA,NA,NA,0.09302325581395349,3.502515604071146,0.1615021540016251,0.94963051994302,0.5769606806936235,0.03451676528599606,3.623094788031964,0.15871587163033418,0.7269662921348314,0.06237976657871722,48.10700000000003
13,v2x_veracc_osp,up,ranger_2022,run-11_ranger_2022,NA,NA,NA,NA,0.08430232558139535,3.517630510989442,0.14164962392375247,0.9565955117679256,0.5977914909869801,0.03451676528599606,3.5987741650472675,0.16523022130557824,0.730089012111484,0.062284718344455973,51.31900000000002
14,v2x_veracc_osp,up,ranger_2022,run-11_ranger_2022,NA,NA,NA,NA,0.08826382153249272,3.511151150686581,0.1608141124498859,0.9468318915127426,0.5335366516391886,0.03451676528599606,3.5997693126665986,0.15856724477381084,0.75501240332701,0.06827840053935826,41.447
15,v2x_veracc_osp,up,ranger_2022,run-11_ranger_2022,NA,NA,NA,NA,0.0921435499515034,3.4891394874328805,0.16488799620208605,0.9464743589743589,0.5416411805640695,0.03451676528599606,3.597708159729029,0.162255042652018,0.743076025098497,0.06621648210267309,54.09
16,v2x_veracc_osp,up,lightgbm_2023,run-11_lightgbm_2023,0.1,0.1,NA,NA,0.08527131782945736,3.60761076620887,0.1533579838823092,0.9543046995377504,0.6727605439646215,0.03451676528599606,3.7918429888826064,0.16575767340460176,0.7496279001896979,0.06440215176395503,2.5950000000000273
17,v2x_veracc_osp,up,lightgbm_2023,run-11_lightgbm_2023,0.1,0.1,NA,NA,0.09302325581395349,3.5720260752875923,0.18852762930771577,0.9402711004273504,0.5977280006698662,0.03451676528599606,3.801789109427674,0.1668247735277398,0.7628775718663359,0.07087036939363757,2.7779999999999996
18,v2x_veracc_osp,up,lightgbm_2023,run-11_lightgbm_2023,0.1,0.1,NA,NA,0.08430232558139535,3.575588597168473,0.15330456155996028,0.9495469196618622,0.6080693570867093,0.03451676528599606,3.796426710575937,0.1657946755259527,0.7648329198890996,0.07037460925615056,3.4129999999999825
19,v2x_veracc_osp,up,lightgbm_2023,run-11_lightgbm_2023,0.1,0.1,NA,NA,0.08826382153249272,3.5570303210412715,0.1836758329631382,0.9329202712181436,0.519336401646832,0.03451676528599606,3.801535029476153,0.15241692460387707,0.8001751057930833,0.09613672881413238,3.3940000000000055
20,v2x_veracc_osp,up,lightgbm_2023,run-11_lightgbm_2023,0.1,0.1,NA,NA,0.0921435499515034,3.5515145263804095,0.18965354996543637,0.9369995501574448,0.5479163266322338,0.03451676528599606,3.793339400853883,0.16541704820276737,0.7735006566467241,0.07436979623617433,3.061999999999955
21,v2x_veracc_osp,up,xgboost_2023,run-11_xgboost_2023,NA,NA,0.1,200,0.08527131782945736,3.611614580269985,0.15397180977859382,0.9546778697996918,0.6819308177136039,0.03451676528599606,3.790092599169307,0.17376657294858652,0.7697650663942799,0.06822247373752804,22.49600000000001
22,v2x_veracc_osp,up,xgboost_2023,run-11_xgboost_2023,NA,NA,0.1,200,0.09302325581395349,3.57812797851337,0.18979644286670397,0.9466479700854701,0.5866993458253845,0.03451676528599606,3.8165589988423547,0.1738057015783852,0.7479352108565591,0.07098406225769265,27.667
23,v2x_veracc_osp,up,xgboost_2023,run-11_xgboost_2023,NA,NA,0.1,200,0.08430232558139535,3.5919570855520013,0.1412184807674262,0.9555190658638935,0.6700151465839226,0.03451676528599606,3.7970453939082356,0.16514843227680798,0.7789581205311542,0.07331776100750405,23.561999999999983
24,v2x_veracc_osp,up,xgboost_2023,run-11_xgboost_2023,NA,NA,0.1,200,0.08826382153249272,3.5734059316860995,0.18938312151907924,0.9380523731587561,0.5380978516546546,0.03451676528599606,3.8235304028967905,0.16785737937492512,0.773763315336349,0.07383811812240121,25.714999999999996
25,v2x_veracc_osp,up,xgboost_2023,run-11_xgboost_2023,NA,NA,0.1,200,0.0921435499515034,3.5606516267699884,0.187579211370835,0.9444556905083221,0.5623216940561536,0.03451676528599606,3.795139005233727,0.1758531972900754,0.7562235517291697,0.06642901490441078,21.628999999999962
26,v2xcs_ccsi,up,lightgbm_default,run-11_lightgbm_default,NA,NA,NA,NA,0.12790697674418605,3.366167108740179,0.235519760671922,0.9198737373737373,0.588648760725559,0.1814595660749507,3.2244347405042872,0.614609410695545,0.6822747511786276,0.33065094676765666,1.8450000000000273
27,v2xcs_ccsi,up,lightgbm_default,run-11_lightgbm_default,NA,NA,NA,NA,0.13372093023255813,3.322960378192424,0.22643587259806036,0.9249343449080829,0.6562045840978311,0.1814595660749507,3.258961709562015,0.6354962119799339,0.6839215557883709,0.32700808349725263,2.2729999999999677
28,v2xcs_ccsi,up,lightgbm_default,run-11_lightgbm_default,NA,NA,NA,NA,0.13953488372093023,3.3125441325314937,0.22746287992959668,0.9353494119119119,0.6880141091917795,0.1814595660749507,3.227383579028345,0.6063828370976918,0.6943851492928235,0.3286892836665141,1.981999999999971
29,v2xcs_ccsi,up,lightgbm_default,run-11_lightgbm_default,NA,NA,NA,NA,0.1396702230843841,3.315111278591153,0.2898332982906437,0.8812085055743455,0.5793348266675953,0.1814595660749507,3.2305611759918538,0.6441204511289014,0.67635214772132,0.27728244615449266,2.298000000000002
30,v2xcs_ccsi,up,lightgbm_default,run-11_lightgbm_default,NA,NA,NA,NA,0.11445198836081474,3.403427429948155,0.21490001234043057,0.922902704809995,0.5705018841145636,0.1814595660749507,3.2135451777359365,0.6238972757288759,0.6767974070193818,0.27599202581001997,2.470999999999947
